,protoform,DoT
0,"Among all records, most are infexp_low",0.1773691246619877
1,"Among all records, most are trans_low",0.24187631027253675
2,"Among all records, most are BN_low",0.20747310263792954
3,"Among all records, most are BN_low and infexp_low",0.0
4,"Among all records, most are trans_low and infexp_low",0.0
5,"Among all records, most are infexp_medium",0.0
6,"Among all records, most are trans_medium",0.0
7,"Among all records, most are BN_medium",0.0
8,"Among all records, most are BN_medium and infexp_medium",0.0
9,"Among all records, most are trans_medium and infexp_medium",0.0
10,"Among all records, most are infexp_high",0.14062598599103915
11,"Among all records, most are trans_high",0.15670859538784068
12,"Among all records, most are BN_high",0.16875757433655675
13,"Among all records, most are BN_high and infexp_high",0.0
14,"Among all records, most are trans_high and infexp_high",0.0
15,"Among all trans_low records, most are infexp_low",0.0
16,"Among all trans_low records, most are infexp_medium",0.0
17,"Among all trans_low records, most are infexp_high",0.38361137742276097
18,"Among all trans_low records, most are BN_low",0.23586108467044817
19,"Among all trans_low records, most are BN_medium",0.0
20,"Among all trans_low records, most are BN_high",0.18599939723366657
21,"Among all trans_medium records, most are infexp_low",0.0
22,"Among all trans_medium records, most are infexp_medium",0.3934678825983174
23,"Among all trans_medium records, most are infexp_high",0.07120582120582128
24,"Among all trans_medium records, most are BN_low",0.2853114577033668
25,"Among all trans_medium records, most are BN_medium",0.0
26,"Among all trans_medium records, most are BN_high",0.10459256352791312
27,"Among all trans_high records, most are infexp_low",0.3103585490491749
28,"Among all trans_high records, most are infexp_medium",0.0
29,"Among all trans_high records, most are infexp_high",0.0789674638003364
30,"Among all trans_high records, most are BN_low",0.1749934725514653
31,"Among all trans_high records, most are BN_medium",0.0
32,"Among all trans_high records, most are BN_high",0.17407589998675563
33,"Among all infexp_low records, most are trans_low",0.04034933245966099
34,"Among all infexp_low records, most are trans_medium",0.0
35,"Among all infexp_low records, most are trans_high",0.2867351953476945
36,"Among all infexp_low records, most are BN_low",0.3105908479167808
37,"Among all infexp_low records, most are BN_medium",0.0
38,"Among all infexp_low records, most are BN_high",0.1877176950902518
39,"Among all infexp_medium records, most are trans_low",0.17610499324420592
40,"Among all infexp_medium records, most are trans_medium",0.0
41,"Among all infexp_medium records, most are trans_high",0.06816337366664801
