,protoform,DoT,DoS,DoS2
0,"Among all records, most are inf_low",0.1958830299225842,0.5065913370998116,0.5065913370998116
1,"Among all records, most are IT_years_low",0.12747175141242947,0.5028248587570622,0.5028248587570622
2,"Among all records, most are BN_low",0.1916195856919627,0.557909604519774,0.557909604519774
3,"Among all records, most are BN_low and inf_low",0.0,0.557909604519774,0.557909604519774
4,"Among all records, most are IT_years_low and inf_low",0.0,0.5028248587570622,0.5028248587570622
5,"Among all records, most are inf_medium",0.0,0.5009416195856874,0.5009416195856874
6,"Among all records, most are IT_years_medium",0.0,0.5423728813559322,0.5423728813559322
7,"Among all records, most are BN_medium",0.0,0.6468926553672316,0.6468926553672316
8,"Among all records, most are BN_medium and inf_medium",0.0,0.6468926553672316,0.6468926553672316
9,"Among all records, most are IT_years_medium and inf_medium",0.0,0.5423728813559322,0.5423728813559322
10,"Among all records, most are inf_high",0.13251338902409177,0.5028248587570622,0.5028248587570622
11,"Among all records, most are IT_years_high",0.2161016949152542,0.5616760828625236,0.5616760828625236
12,"Among all records, most are BN_high",0.11334745763025193,0.6224105461393596,0.6224105461393596
13,"Among all records, most are BN_high and inf_high",0.0,0.6224105461393596,0.6224105461393596
14,"Among all records, most are IT_years_high and inf_high",0.0,0.5616760828625236,0.5616760828625236
15,"Among all IT_years_low records, most are inf_low",0.0,0.1902071563088512,0.1902071563088512
16,"Among all IT_years_low records, most are inf_medium",0.0,0.2222222222222222,0.2222222222222222
17,"Among all IT_years_low records, most are inf_high",0.6534078526575148,0.3173258003766478,0.3173258003766478
18,"Among all IT_years_low records, most are BN_low",0.3180751173810441,0.2787193973634652,0.2787193973634652
19,"Among all IT_years_low records, most are BN_medium",0.0,0.3220338983050847,0.3220338983050847
20,"Among all IT_years_low records, most are BN_high",0.08249496982773691,0.3107344632768362,0.3107344632768362
21,"Among all IT_years_medium records, most are inf_low",0.2906722655227588,0.2801318267419962,0.2801318267419962
22,"Among all IT_years_medium records, most are inf_medium",0.06037171268352488,0.288135593220339,0.288135593220339
23,"Among all IT_years_medium records, most are inf_high",0.2522547664672083,0.268361581920904,0.268361581920904
24,"Among all IT_years_medium records, most are BN_low",0.0,0.2678907721280603,0.2678907721280603
25,"Among all IT_years_medium records, most are BN_medium",0.050933478374016745,0.3455743879472693,0.3455743879472693
26,"Among all IT_years_medium records, most are BN_high",0.4508337864947222,0.3667608286252354,0.3667608286252354
27,"Among all IT_years_high records, most are inf_low",0.532894736842126,0.3488700564971751,0.3488700564971751
28,"Among all IT_years_high records, most are inf_medium",0.13703623914248036,0.3121468926553672,0.3121468926553672
29,"Among all IT_years_high records, most are inf_high",0.0,0.2189265536723164,0.2189265536723164
30,"Among all IT_years_high records, most are BN_low",0.20029239767710735,0.3036723163841808,0.3036723163841808
31,"Among all IT_years_high records, most are BN_medium",0.04739278752808288,0.3672316384180791,0.3672316384180791
32,"Among all IT_years_high records, most are BN_high",0.0869883041031372,0.3606403013182674,0.3606403013182674
33,"Among all inf_low records, most are IT_years_low",0.0,0.1902071563088512,0.1902071563088512
34,"Among all inf_low records, most are IT_years_medium",0.0,0.2801318267419962,0.2801318267419962
35,"Among all inf_low records, most are IT_years_high",0.5603171750131474,0.3488700564971751,0.3488700564971751
36,"Among all inf_low records, most are BN_low",0.3218482980004214,0.2909604519774011,0.2909604519774011
37,"Among all inf_low records, most are BN_medium",0.0,0.3154425612052731,0.3154425612052731
38,"Among all inf_low records, most are BN_high",0.07688106629360633,0.3055555555555556,0.3055555555555556
39,"Among all inf_medium records, most are IT_years_low",0.018218290171502366,0.2222222222222222,0.2222222222222222
40,"Among all inf_medium records, most are IT_years_medium",0.034913039795221035,0.288135593220339,0.288135593220339
41,"Among all inf_medium records, most are IT_years_high",0.528241748760102,0.3121468926553672,0.3121468926553672
42,"Among all inf_medium records, most are BN_low",0.09786629640773746,0.2645951035781544,0.2645951035781544
43,"Among all inf_medium records, most are BN_medium",0.10443739880193899,0.3215630885122411,0.3215630885122411
44,"Among all inf_medium records, most are BN_high",0.2624523084588872,0.3286252354048964,0.3286252354048964
45,"Among all inf_high records, most are IT_years_low",0.6453904402279034,0.3173258003766478,0.3173258003766478
46,"Among all inf_high records, most are IT_years_medium",0.0,0.268361581920904,0.268361581920904
47,"Among all inf_high records, most are IT_years_high",0.0,0.2189265536723164,0.2189265536723164
48,"Among all inf_high records, most are BN_low",0.12451791283378019,0.2721280602636535,0.2721280602636535
49,"Among all inf_high records, most are BN_medium",0.0,0.3380414312617702,0.3380414312617702
50,"Among all inf_high records, most are BN_high",0.20549848151900033,0.3234463276836158,0.3234463276836158
51,"Among all BN_low records, most are IT_years_low",0.24531250000461902,0.2787193973634652,0.2787193973634652
52,"Among all BN_low records, most are IT_years_medium",0.0,0.2678907721280603,0.2678907721280603
53,"Among all BN_low records, most are IT_years_high",0.22500000001196926,0.3036723163841808,0.3036723163841808
54,"Among all BN_low records, most are inf_low",0.32670138890002615,0.2909604519774011,0.2909604519774011
55,"Among all BN_low records, most are inf_medium",0.0,0.2645951035781544,0.2645951035781544
56,"Among all BN_low records, most are inf_high",0.06962374056829493,0.2721280602636535,0.2721280602636535
57,"Among all BN_medium records, most are IT_years_low",0.11448598133260283,0.3220338983050847,0.3220338983050847
58,"Among all BN_medium records, most are IT_years_medium",0.0008496177126007809,0.3455743879472693,0.3455743879472693
59,"Among all BN_medium records, most are IT_years_high",0.36214953272784867,0.3672316384180791,0.3672316384180791
60,"Among all BN_medium records, most are inf_low",0.1841546304434315,0.3154425612052731,0.3154425612052731
61,"Among all BN_medium records, most are inf_medium",0.07698854650461884,0.3215630885122411,0.3215630885122411
62,"Among all BN_medium records, most are inf_high",0.20356208097305362,0.3380414312617702,0.3380414312617702
63,"Among all BN_high records, most are IT_years_low",0.09611451943330006,0.3107344632768362,0.3107344632768362
64,"Among all BN_high records, most are IT_years_medium",0.15320381732342708,0.3667608286252354,0.3667608286252354
65,"Among all BN_high records, most are IT_years_high",0.186605316980725,0.3606403013182674,0.3606403013182674
66,"Among all BN_high records, most are inf_low",0.1559304703557482,0.3055555555555556,0.3055555555555556
67,"Among all BN_high records, most are inf_medium",0.03621290750747769,0.3286252354048964,0.3286252354048964
68,"Among all BN_high records, most are inf_high",0.22671012485200734,0.3234463276836158,0.3234463276836158
