countryid;country;date;date_label;industry;cpi;infrate;ER;ibor;bondsIR;infexp;ABG;BN;LM;BG;keyIR;t1;t2;t3;t4;t5;trans;Oil prices;ECB shadow rate;dummy_exp;dummy_moderate_exp;dummy_nonexp
2;czechia;1;01.01.2001;114.2;74.6;4.20;35.139;5.346956522;6.5659999999999998;4.25;-0.0175;-0.0075;-0.419354839;-0.272727272727273;5.25;3;1;2.5;0;2.5;9.00;25.61;.;1;NA;NA
2;czechia;2;01.02.2001;109.7;74.6;4.00;34.64;5.265;6.2530000000000001;4.18;-0.0257611241217799;-0.025761124;-0.513513514;-0.111111111111111;5;3;1;2.5;0;2.5;9.00;27.54;.;1;NA;NA
2;czechia;3;01.03.2001;110.2;74.7;4.10;34.601;5.048181818;6.2380000000000004;4.11;0.019047619047619;0.038095238;-0.297297297;0;5;3;1;2.5;0;2.5;9.00;24.33;.;1;NA;NA
2;czechia;4;01.04.2001;110.6;74.9;4.60;34.55;5.006666667;6.4290000000000003;4.12;0.00496277915632754;0.024813896;-0.619047619;-0.533333333333333;5;3;1;2.5;0;2.5;9.00;25.64;.;1;NA;NA
2;czechia;5;01.05.2001;108.6;75.4;5.00;34.382;5.03;6.6719999999999997;4.12;0.00731707317073171;0.017073171;-0.382978723;-0.230769230769231;5;3;1;2.5;0;2.5;9.00;28.49;.;1;NA;NA
2;czechia;6;01.06.2001;109.1;76.2;5.50;33.975;5.091428571;6.7350000000000003;4.38;-0.00714285714285714;0.023809524;-0.414634146;-0.257142857142857;5;3;1;2.5;0;2.5;9.00;27.85;.;1;NA;NA
2;czechia;7;01.07.2001;106.1;77;5.90;33.855;5.24;6.9580000000000002;4.63;0.0117647058823529;0.025882353;-0.368421053;-0.176470588235294;5.25;3;1;2.5;0;2.5;9.00;24.54;.;1;NA;NA
2;czechia;8;01.08.2001;103.7;76.9;5.50;34.034;5.565652174;6.6109999999999998;4.72;0.00809061488673139;0.019417476;-0.403508772;-0.272727272727273;5.25;3;1;2.5;0;2.5;9.00;25.72;.;1;NA;NA
2;czechia;9;01.09.2001;103.6;76.2;4.70;34.188;5.403;6.2690000000000001;4.78;0.00982800982800983;0.031941032;-0.367346939;-0.24;5.25;3;1;2.5;0;2.5;9.00;25.68;.;1;NA;NA
2;czechia;10;01.10.2001;102.7;76.2;4.40;33.562;5.290434783;5.68;4.43;-0.0189035916824197;-0.017013233;-0.25;-0.0232558139534884;5.25;3;1;2.5;0;2.5;9.00;20.39;.;1;NA;NA
2;czechia;11;01.11.2001;104.3;76.2;4.20;33.325;5.081818182;5.6210000000000004;4.05;-0.026694045174538;-0.008213552;-0.225806452;-0.16;4.75;3;1;2.5;0;2.5;9.00;18.97;.;1;NA;NA
2;czechia;12;01.12.2001;102.3;76.2;4.10;32.592;4.67952381;5.3440000000000003;3.90;-0.0149253731343284;-0.007462687;-0.461538462;-0.0232558139534884;4.75;3;1;2.5;0;2.5;9.00;18.65;.;1;NA;NA
2;czechia;13;01.01.2002;97.4;77.5;3.70;32.078;4.554347826;5.2720000000000002;3.61;-0.00595238095238095;-0.011904762;0.111111111;0.333333333333333;4.5;3;1.5;2.5;0;2.5;9.50;19.41;.;1;NA;NA
2;czechia;14;01.02.2002;100.1;77.5;3.90;31.789;4.3015;5.3860000000000001;3.57;0.0258823529411765;0.011764706;-0.19047619;-0.0857142857142857;4.25;3;1.5;2.5;0;2.5;9.50;20.28;.;1;NA;NA
2;czechia;15;01.03.2002;99.6;77.5;3.70;31.388;4.300952381;5.6879999999999997;3.53;-0.0152963671128107;-0.001912046;-0.315789474;-0.125;4.25;3;1.5;2.5;0;2.5;9.50;23.7;.;1;NA;NA
2;czechia;16;01.04.2002;100.5;77.5;3.20;30.356;4.213181818;5.3049999999999997;3.42;-0.0186666666666667;-0.002666667;-0.459459459;-0.027027027027027;3.75;3;1.5;2.5;0;2.5;9.50;25.73;.;1;NA;NA
2;czechia;17;01.05.2002;99.5;77.4;2.50;30.558;3.813478261;5.3109999999999999;3.33;0.0196506550218341;0;-0.476190476;-0.309090909090909;3.75;3;1.5;2.5;0;2.5;9.50;25.37;.;1;NA;NA
2;czechia;18;01.06.2002;100.1;77.1;1.20;30.295;3.776;4.8579999999999997;3.11;0;0.001960784;-0.381818182;0.0545454545454545;3.75;3;1.5;2.5;0;2.5;9.50;24.06;.;1;NA;NA
