,trans,BN,infexp,infexp0,infexp1,infexp2,infexp0spread,infexp1spread,infexp2spread,trans_low,trans_medium,trans_high,BN_low,BN_medium,BN_high,infexp_low,infexp_medium,infexp_high,infexp0_low,infexp0_medium,infexp0_high,infexp1_low,infexp1_medium,infexp1_high,infexp2_low,infexp2_medium,infexp2_high
0,9.5,-11.904762,3.61,4.22,4.270446773,4.270446773,0.618600571,0.237881898,0.237881898,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9860967296132676,0.013903270386732494,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,9.5,11.764706,3.57,4.06,3.481440743,3.481440743,0.355902608,0.276764704,0.276764704,1.0,0.0,0.0,0.0,0.9146426041248656,0.0853573958751344,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6800196856026844,0.31998031439731556,0.0,0.6800196856026844,0.31998031439731556
2,9.5,-1.912046,3.53,3.92,4.264131554,4.27538999,0.282842712,0.299959227,0.288921333,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
3,9.5,-2.6666670000000003,3.42,3.72,3.629972262,3.631613933,0.357770876,0.330245521,0.308967504,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.838525492499843,0.16147450750015702,0.0,0.6358065398258644,0.3641934601741355,0.0,0.6849067628807987,0.3150932371192013,0.0
4,9.5,0.0,3.33,3.4,3.209585266,3.219286879,0.581090928,0.329216237,0.309518079,1.0,0.0,0.0,0.942490510381237,0.05750948961876296,0.0,0.0,0.0,1.0,0.12046307492861054,0.8795369250713895,0.0,0.0,0.6342381679066453,0.3657618320933546,0.0,0.6423048328624453,0.3576951671375546
5,9.5,1.960784,3.11,2.9,2.347852596,2.337270255,1.030857248,0.367618612,0.33691115,1.0,0.0,0.0,0.7690079148541039,0.23099208514589606,0.0,0.0,0.29096989966555215,0.7090301003344479,0.0,0.7962860518200479,0.20371394817995206,0.0,0.0,1.0,0.0,0.0,1.0
6,9.5,18.181818,2.91,2.24,0.723566998,0.155225301,1.355605646,0.453335243,0.371838142,1.0,0.0,0.0,0.0,0.42216247817978797,0.577837521820212,0.0,0.5585284280936454,0.4414715719063546,0.0,0.5057559682072909,0.49424403179270915,0.0,0.0,1.0,0.0,0.0,1.0
7,9.5,0.0,2.79,1.62,0.684926193,0.351382877,1.351542329,0.445897498,0.374450369,1.0,0.0,0.0,0.942490510381237,0.05750948961876296,0.0,0.0,0.7190635451505017,0.28093645484949825,0.0,0.13432234056207648,0.8656776594379235,0.0,0.0,1.0,0.0,0.0,1.0
8,9.5,-4.694836,2.65,1.14,0.690782978,0.658546108,1.103479346,0.446049651,0.36713506,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9063545150501674,0.09364548494983255,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
9,9.5,-12.903226,2.39,0.76,1.077848665,1.025891697,0.747663026,0.364783238,0.369798647,1.0,0.0,0.0,1.0,0.0,0.0,0.27536231884057955,0.7246376811594204,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
10,9.5,-13.513514,2.09,0.62,0.33164495,0.45485444,0.256255081,0.383428101,0.370200963,1.0,0.0,0.0,1.0,0.0,0.0,0.710144927536232,0.28985507246376796,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
11,9.5,-13.513514,2.5,0.62,0.765227027,0.651294279,0.098319208,0.378421779,0.36227492,1.0,0.0,0.0,1.0,0.0,0.0,0.11594202898550732,0.8840579710144927,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
12,10.5,-1.490313,1.69,0.42,0.652276992,0.680056822,0.427784993,0.379230057,0.354484269,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
13,10.5,0.0,1.64,0.18,-1.018042774,-1.185838929,0.538206899,0.432958141,0.402450536,1.0,0.0,0.0,0.942490510381237,0.05750948961876296,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
14,10.5,-2.1008400000000003,1.61,-0.02,0.101122151,0.038736317,0.530722778,0.49221322,0.416140051,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
15,10.5,11.286681999999999,1.73,-0.14,-0.369594199,-0.455721178,0.467618078,0.502982453,0.414095081,1.0,0.0,0.0,0.0,0.9513284714939828,0.04867152850601719,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
16,10.5,4.854369,1.94,-0.26,0.186111637,0.147299376,0.392003401,0.49518373,0.412997541,1.0,0.0,0.0,0.5129946894410143,0.48700531055898566,0.0,0.9275362318840579,0.07246376811594207,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
17,10.5,-14.028056000000001,1.97,-0.12,0.120577162,0.029269951,0.287518115,0.487138563,0.406256458,1.0,0.0,0.0,1.0,0.0,0.0,0.8840579710144927,0.11594202898550732,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
18,10.5,-13.232514,2.02,-0.06,0.346822254,0.499127016,0.263944439,0.346781073,0.403047607,1.0,0.0,0.0,1.0,0.0,0.0,0.8115942028985506,0.1884057971014494,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
19,10.5,8.316008,2.06,0.0,0.002209312,-0.250485242,0.225092574,0.314847785,0.409275138,1.0,0.0,0.0,0.20672224000346823,0.7932777599965318,0.0,0.7536231884057969,0.24637681159420305,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
20,10.5,-9.280742,2.27,0.1,0.064237204,0.061734717,0.213697606,0.313628624,0.397705218,1.0,0.0,0.0,1.0,0.0,0.0,0.4492753623188405,0.5507246376811594,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
21,10.5,38.548753,2.47,0.24,0.282167857,0.597567281,0.423083916,0.310761086,0.39660622,1.0,0.0,0.0,0.0,0.0,1.0,0.15942028985507226,0.8405797101449277,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
22,10.5,15.831135,2.76,0.46,0.682176595,1.217409356,0.524086507,0.352282309,0.396951762,1.0,0.0,0.0,0.0,0.6025652294325249,0.3974347705674751,0.0,0.7591973244147161,0.24080267558528387,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
23,11.0,10.526316000000001,2.93,0.94,0.721678056,0.973369343,0.886942313,0.352243617,0.392832995,1.0,0.0,0.0,0.011162724649208552,0.9888372753507915,0.0,0.0,0.531772575250836,0.46822742474916396,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
24,11.0,30.150754,2.99,1.4,2.246568781,2.788828269,0.956382071,0.455729433,0.444933535,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.45150501672240784,0.5484949832775922,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5478611631285558,0.45213883687144424
25,11.0,24.324324,3.04,1.82,2.137524263,2.204094715,0.888631907,0.455155506,0.445240001,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3846153846153847,0.6153846153846153,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
26,11.0,16.216216,3.01,2.08,2.3943101,2.591947295,0.701427117,0.460104215,0.442003916,1.0,0.0,0.0,0.0,0.5730122561668166,0.4269877438331835,0.0,0.4247491638795991,0.575250836120401,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.05418778009197642,0.9458122199080236
27,11.0,19.80198,2.98,2.42,2.166002266,2.245824688,0.601387285,0.452037438,0.438848528,1.0,0.0,0.0,0.0,0.29782343192168476,0.7021765680783153,0.0,0.46488294314381284,0.5351170568561872,0.0,0.06881968746645498,0.931180312533545,0.0,0.0,1.0,0.0,0.0,1.0
28,11.0,10.204082,2.92,2.54,2.596856353,2.819444323,0.252982213,0.468139274,0.439223869,1.0,0.0,0.0,0.03967274446122787,0.9603272555387721,0.0,0.0,0.545150501672241,0.45484949832775895,0.0,0.0,1.0,0.0,0.30972754274831504,0.690272457251685,0.0,0.7710605363298233,0.22893946367017678
29,11.0,6.756757,2.88,2.72,2.79958074,2.919874815,0.356370594,0.461106287,0.434074419,1.0,0.0,0.0,0.34467874646123087,0.6553212535387691,0.0,0.0,0.5986622073578598,0.4013377926421402,0.0,0.551029173860513,0.4489708261394871,0.0,0.8255949609292581,0.17440503907074192,0.09186170217508287,0.9081382978249172,0.0
30,11.0,13.186813,2.85,2.9,3.13143261,3.260342114,0.417931414,0.45910528,0.431023529,1.0,0.0,0.0,0.0,0.8055032538271963,0.19449674617280363,0.0,0.6387959866220736,0.36120401337792646,0.11963685505583899,0.880363144944161,0.0,0.6130023379386965,0.38699766206130354,0.0,0.9520178978442732,0.0479821021557268,0.0
31,11.0,33.687943,2.82,3.04,3.328572594,3.418663092,0.386867764,0.462739051,0.426518444,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.678929765886288,0.32107023411371205,0.5686697638627765,0.4313302361372236,0.0,1.0,0.0,0.0,1.0,0.0,0.0
32,11.0,12.5,2.75,3.2,2.876427959,2.890393876,0.306050105,0.474352859,0.426465085,1.0,0.0,0.0,0.0,0.8582125960890608,0.14178740391093925,0.0,0.7725752508361206,0.2274247491638795,1.0,0.0,0.0,0.26652724148543583,0.7334727585145642,0.0,0.32920368146902346,0.6707963185309765,0.0
33,11.0,17.58794,2.68,3.2,3.384592338,3.620583017,0.258843582,0.484352519,0.431041103,1.0,0.0,0.0,0.0,0.46773954029682924,0.5322604597031708,0.0,0.866220735785953,0.13377926421404696,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
