,IT_years,BN,inf,inf0,inf1,inf2,inf_spread0,inf_spread1,inf_spread2,IT_years_low,IT_years_medium,IT_years_high,BN_low,BN_medium,BN_high,inf_low,inf_medium,inf_high,survey_low,survey_high,survey_medium,inf0_low,inf0_medium,inf0_high,inf1_low,inf1_medium,inf1_high,inf2_low,inf2_medium,inf2_high
0,4.0,-10.0,3.7,4.8,4.27,4.27,0.67,0.24,0.24,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.013157894736842117,0.986842105263158,0.0825,0.381,0.408,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,4.0,10.0,3.9,4.43,3.48,3.48,0.56,0.28,0.28,1.0,0.0,0.0,4.2973606186676346e-11,0.9999999999355396,2.1486803095723348e-11,0.0,0.0,1.0,0.07400000000000001,0.4485,0.365,0.946428571428571,0.053571428571429006,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2,4.0,0.0,3.7,4.17,4.26,4.28,0.32,0.3,0.29,1.0,0.0,0.0,0.9999999999618012,3.819876288299699e-11,0.0,0.0,0.013157894736842117,0.986842105263158,0.0955,0.35850000000000004,0.395,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
3,4.0,0.0,3.2,4.0,3.63,3.63,0.26,0.33,0.31,1.0,0.0,0.0,0.9999999999618012,3.819876288299699e-11,0.0,0.0,0.34210526315789475,0.6578947368421052,0.1035,0.36,0.353,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
4,4.0,0.0,2.5,3.8,3.21,3.22,0.33,0.33,0.31,1.0,0.0,0.0,0.9999999999618012,3.819876288299699e-11,0.0,0.0,0.8026315789473686,0.19736842105263147,0.1125,0.32300000000000006,0.395,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
5,4.0,0.0,1.2,3.52,2.35,2.34,0.53,0.37,0.34,1.0,0.0,0.0,0.9999999999618012,3.819876288299699e-11,0.0,0.9999999999994869,5.131450817184294e-13,0.0,0.126,0.313,0.38,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
6,4.0,20.0,0.6,3.03,0.72,1.03,0.94,0.45,0.37,1.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.192,0.26849999999999996,0.312,1.0,0.0,0.0,0.26666666666666666,0.7333333333333334,0.0,1.0,0.0,0.0
7,4.0,0.0,0.6,2.52,0.68,0.45,1.24,0.45,0.37,1.0,0.0,0.0,0.9999999999618012,3.819876288299699e-11,0.0,1.0,0.0,0.0,0.1595,0.249,0.405,1.0,0.0,0.0,0.17777777777777792,0.8222222222222221,0.0,0.0,0.5945945945945947,0.40540540540540526
8,4.0,0.0,0.8,1.97,0.69,0.65,1.23,0.45,0.36,1.0,0.0,0.0,0.9999999999618012,3.819876288299699e-11,0.0,1.0,0.0,0.0,0.16699999999999998,0.23,0.402,0.9512195121951219,0.04878048780487809,0.0,0.0,0.7555555555555553,0.2444444444444447,0.0,0.5833333333333333,0.41666666666666674
9,4.0,-10.0,0.6,1.48,1.08,0.68,1.01,0.36,0.35,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.154,0.2025,0.46399999999999997,0.8712871287128713,0.12871287128712872,0.0,1.0,0.0,0.0,0.2285714285714288,0.7714285714285712,0.0
10,4.0,-10.0,0.5,1.05,0.33,0.04,0.68,0.38,0.42,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.187,0.22650000000000003,0.35200000000000004,0.8088235294117647,0.19117647058823528,0.0,0.0,0.5526315789473684,0.44736842105263164,0.0,0.0,1.0
11,4.0,-10.0,0.6,0.72,0.77,-0.46,0.23,0.38,0.41,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.182,0.243,0.336,0.5217391304347826,0.47826086956521735,0.0,0.44736842105263164,0.5526315789473683,0.0,0.0,0.0,1.0
12,5.0,0.0,-0.4,0.62,0.65,0.15,0.09,0.38,0.41,1.0,0.0,0.0,0.9999999999618012,3.819876288299699e-11,0.0,1.0,0.0,0.0,0.24255000000000002,0.17145,0.33759999999999996,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
13,5.0,0.0,-0.4,0.45,-1.02,0.03,0.39,0.43,0.41,1.0,0.0,0.0,0.9999999999618012,3.819876288299699e-11,0.0,1.0,0.0,0.0,0.2465,0.16419999999999998,0.3456,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
14,5.0,0.0,-0.4,0.28,0.1,0.5,0.49,0.49,0.4,1.0,0.0,0.0,0.9999999999618012,3.819876288299699e-11,0.0,1.0,0.0,0.0,0.2061,0.21655000000000002,0.3478,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
15,5.0,10.0,-0.1,0.08,-0.37,-0.25,0.48,0.5,0.41,1.0,0.0,0.0,4.2973606186676346e-11,0.9999999999355396,2.1486803095723348e-11,1.0,0.0,0.0,0.26195,0.19045,0.3109,0.3750000000000001,0.6249999999999999,0.0,0.0,0.46,0.54,0.0,0.6341463414634146,0.36585365853658536
16,5.0,0.0,0.0,-0.03,0.19,0.03,0.43,0.5,0.4,1.0,0.0,0.0,0.9999999999618012,3.819876288299699e-11,0.0,1.0,0.0,0.0,0.31545,0.1188,0.2606,0.0,0.9302325581395349,0.0697674418604651,0.38,0.62,0.0,0.075,0.9249999999999999,0.0
17,5.0,-10.0,0.3,-0.12,0.12,0.06,0.36,0.49,0.4,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.35885,0.09505000000000001,0.23420000000000002,0.0,0.0,1.0,0.0,0.6326530612244898,0.36734693877551017,0.0,0.4,0.6
18,5.0,-10.0,-0.1,-0.17,0.35,0.6,0.26,0.35,0.4,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.39019999999999994,0.07285,0.2322,0.0,0.7307692307692308,0.2692307692307693,1.0,0.0,0.0,1.0,0.0,0.0
19,5.0,10.0,-0.1,-0.12,0.0,1.22,0.24,0.31,0.4,1.0,0.0,0.0,4.2973606186676346e-11,0.9999999999355396,2.1486803095723348e-11,1.0,0.0,0.0,0.37270000000000003,0.08460000000000001,0.23739999999999997,0.0,0.9166666666666667,0.0833333333333333,0.3225806451612903,0.6774193548387096,0.0,1.0,0.0,0.0
20,5.0,10.0,0.0,-0.07,0.0,0.97,0.21,0.31,0.39,1.0,0.0,0.0,4.2973606186676346e-11,0.9999999999355396,2.1486803095723348e-11,1.0,0.0,0.0,0.3557,0.1027,0.2908,0.0,0.6666666666666666,0.33333333333333337,1.2291243287295839e-12,0.9999999999975417,1.2291243287295837e-12,1.0,0.0,0.0
21,5.0,-10.0,0.4,0.0,0.06,2.79,0.14,0.31,0.44,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.371,0.09050000000000001,0.2547,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
22,5.0,40.0,1.0,0.08,0.28,2.2,0.2,0.31,0.45,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2831,0.13085000000000002,0.3243,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
23,5.0,20.0,1.0,0.25,0.68,2.59,0.39,0.35,0.44,1.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.2723,0.12755,0.3343,0.0,0.0,1.0,0.0,0.0857142857142858,0.9142857142857143,1.0,0.0,0.0
24,6.0,10.0,2.3,0.37,0.72,2.25,0.48,0.35,0.44,1.0,0.0,0.0,4.2973606186676346e-11,0.9999999999355396,2.1486803095723348e-11,0.0,0.9342105263157897,0.06578947368421029,0.2981,0.1288,0.2852,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.8863636363636367,0.11363636363636326
25,6.0,30.0,2.3,0.77,2.25,2.82,0.81,0.46,0.44,1.0,0.0,0.0,0.0,2.6261645717220658e-11,0.9999999999737383,0.0,0.9342105263157897,0.06578947368421029,0.2777,0.15155,0.30510000000000004,0.0,0.0,1.0,0.0,0.8913043478260874,0.10869565217391267,1.0,0.0,0.0
26,6.0,20.0,2.5,1.17,2.14,2.92,0.87,0.46,0.43,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.8026315789473686,0.19736842105263147,0.23310000000000003,0.1446,0.3978,0.0,0.0,1.0,0.0,0.21739130434782628,0.7826086956521737,0.976744186046511,0.023255813953488903,0.0
