,gini,year,e0,gini_low,gini_medium,gini_high,year_low,year_medium,year_high,e0_low,e0_medium,e0_high,index,year,country,gini,e0
0,27.0,1995,79.9565314473093,0.6551724137931033,0.34482758620689674,0.0,1.0,0.0,0.0,0.9484041048864058,0.05159589511359417,0.0,0,1995,AUT,27.0,79.9565314473093
1,26.0,1996,80.0831412426584,0.9999999999974715,2.5285520618187127e-12,0.0,1.0,0.0,0.0,0.8796621128964867,0.1203378871035134,0.0,1,1996,AUT,26.0,80.0831412426584
2,25.0,1997,80.5351950250626,1.0,0.0,0.0,1.0,0.0,0.0,0.6342223552271817,0.3657776447728183,0.0,2,1997,AUT,25.0,80.5351950250626
3,24.0,1998,80.8144691303452,1.0,0.0,0.0,1.0,0.0,0.0,0.4825922364406024,0.5174077635593977,0.0,3,1998,AUT,24.0,80.8144691303452
4,26.0,1999,80.8350221478067,0.9999999999974715,2.5285520618187127e-12,0.0,1.0,0.0,0.0,0.47143310489149015,0.5285668951085098,0.0,4,1999,AUT,26.0,80.8350221478067
5,24.0,2000,81.1012196209085,1.0,0.0,0.0,1.0,0.0,0.0,0.32690286129346957,0.6730971387065304,0.0,5,2000,AUT,24.0,81.1012196209085
6,24.0,2001,81.5650877533688,1.0,0.0,0.0,1.0,0.0,0.0,0.0750485765752648,0.9249514234247351,0.0,6,2001,AUT,24.0,81.5650877533688
7,27.4,2003,81.5427630107313,0.5172413793103451,0.4827586206896549,0.0,0.8333333333333334,0.16666666666666666,0.0,0.08716965516426485,0.9128303448357351,0.0,8,2003,AUT,27.4,81.5427630107313
8,25.8,2004,82.1045489080737,1.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.6879379044046047,0.3120620955953954,9,2004,AUT,25.8,82.1045489080737
9,26.3,2005,82.2115035333489,0.8965517241379307,0.10344827586206926,0.0,0.5,0.5,0.0,0.0,0.6047536947243011,0.395246305275699,10,2005,AUT,26.3,82.2115035333489
10,25.3,2006,82.6418649444511,1.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.2700391018086558,0.7299608981913442,11,2006,AUT,25.3,82.6418649444511
11,26.2,2007,82.8366416029807,0.931034482758621,0.0689655172413791,0.0,0.16666666666666666,0.8333333333333334,0.0,0.0,0.1185511005907102,0.8814488994092898,12,2007,AUT,26.2,82.8366416029807
12,27.7,2008,82.9559917968607,0.41379310344827586,0.5862068965517242,0.0,5.1234852449804645e-11,0.9999999998872833,6.148182293976556e-11,0.0,0.02572620846891265,0.9742737915310873,13,2008,AUT,27.7,82.9559917968607
13,27.5,2009,82.8518937644338,0.4827586206896549,0.5172413793103451,0.0,0.0,0.7999999999999999,0.19999999999999998,0.0,0.10668869638773949,0.8933113036122605,14,2009,AUT,27.5,82.8518937644338
14,28.3,2010,83.1300107279185,0.2068965517241373,0.7931034482758628,0.0,0.0,0.6,0.4,0.0,0.0,1.0,15,2010,AUT,28.3,83.1300107279185
15,27.4,2011,83.4342777830525,0.5172413793103451,0.4827586206896549,0.0,0.0,0.39999999999999997,0.6,0.0,0.0,1.0,16,2011,AUT,27.4,83.4342777830525
16,27.6,2012,83.2943932557871,0.44827586206896475,0.5517241379310353,0.0,0.0,0.2,0.8,0.0,0.0,1.0,17,2012,AUT,27.6,83.2943932557871
17,27.0,2013,83.5664966155985,0.6551724137931033,0.34482758620689674,0.0,0.0,8.512866785146478e-11,0.9999999999148713,0.0,0.0,1.0,18,2013,AUT,27.0,83.5664966155985
18,27.6,2014,83.7367387749658,0.44827586206896475,0.5517241379310353,0.0,0.0,0.0,1.0,0.0,0.0,1.0,19,2014,AUT,27.6,83.7367387749658
19,27.2,2015,83.5947326564689,0.5862068965517241,0.4137931034482758,0.0,0.0,0.0,1.0,0.0,0.0,1.0,20,2015,AUT,27.2,83.5947326564689
20,27.2,2016,83.9507858919831,0.5862068965517241,0.4137931034482758,0.0,0.0,0.0,1.0,0.0,0.0,1.0,21,2016,AUT,27.2,83.9507858919831
21,27.9,2017,83.9011103962573,0.3448275862068967,0.6551724137931032,0.0,0.0,0.0,1.0,0.0,0.0,1.0,22,2017,AUT,27.9,83.9011103962573
22,29.0,1995,80.1910521688344,0.0,0.9696969696969693,0.030303030303030696,1.0,0.0,0.0,0.8210725543053667,0.1789274456946333,0.0,24,1995,BEL,29.0,80.1910521688344
23,28.0,1996,80.4722088551099,0.3103448275862066,0.6896551724137935,0.0,1.0,0.0,0.0,0.668420300010414,0.331579699989586,0.0,25,1996,BEL,28.0,80.4722088551099
24,27.0,1997,80.5525255684931,0.6551724137931033,0.34482758620689674,0.0,1.0,0.0,0.0,0.624812845683352,0.37518715431664795,0.0,26,1997,BEL,27.0,80.5525255684931
25,27.0,1998,80.5642387673817,0.6551724137931033,0.34482758620689674,0.0,1.0,0.0,0.0,0.6184532380245895,0.3815467619754105,0.0,27,1998,BEL,27.0,80.5642387673817
26,29.0,1999,80.8694943944133,0.0,0.9696969696969693,0.030303030303030696,1.0,0.0,0.0,0.4527166154321133,0.5472833845678867,0.0,28,1999,BEL,29.0,80.8694943944133
27,30.0,2000,80.9030407782598,0.0,0.6666666666666667,0.3333333333333333,1.0,0.0,0.0,0.43450281733451424,0.5654971826654858,0.0,29,2000,BEL,30.0,80.9030407782598
28,28.0,2001,81.1658549121329,0.3103448275862066,0.6896551724137935,0.0,1.0,0.0,0.0,0.29180953648899294,0.7081904635110071,0.0,30,2001,BEL,28.0,81.1658549121329
29,28.3,2003,81.2036256879954,0.2068965517241373,0.7931034482758628,0.0,0.8333333333333334,0.16666666666666666,0.0,0.27130213131837566,0.7286978686816243,0.0,32,2003,BEL,28.3,81.2036256879954
30,26.1,2004,81.8651214484278,0.9655172413793098,0.03448275862069016,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.8741531705060822,0.1258468294939178,33,2004,BEL,26.1,81.8651214484278
31,28.0,2005,81.8645156754851,0.3103448275862066,0.6896551724137935,0.0,0.5,0.5,0.0,0.0,0.8746243118275072,0.1253756881724928,34,2005,BEL,28.0,81.8645156754851
32,27.8,2006,82.154598525662,0.37931034482758563,0.6206896551724143,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.6490116973969939,0.35098830260300606,35,2006,BEL,27.8,82.154598525662
33,26.3,2007,82.2177768576329,0.8965517241379307,0.10344827586206926,0.0,0.16666666666666666,0.8333333333333334,0.0,0.0,0.5998746021063834,0.4001253978936166,36,2007,BEL,26.3,82.2177768576329
34,27.5,2008,82.3134404491695,0.4827586206896549,0.5172413793103451,0.0,5.1234852449804645e-11,0.9999999998872833,6.148182293976556e-11,0.0,0.5254720202949299,0.47452797970507005,37,2008,BEL,27.5,82.3134404491695
35,26.4,2009,82.4400672565375,0.8620689655172418,0.1379310344827582,0.0,0.0,0.7999999999999999,0.19999999999999998,0.0,0.42698772503286586,0.5730122749671341,38,2009,BEL,26.4,82.4400672565375
36,26.6,2010,82.648050154226,0.7931034482758614,0.20689655172413854,0.0,0.0,0.6,0.4,0.0,0.26522854045604577,0.7347714595439543,39,2010,BEL,26.6,82.648050154226
37,26.3,2011,82.8760942112417,0.8965517241379307,0.10344827586206926,0.0,0.0,0.39999999999999997,0.6,0.0,0.08786674234464606,0.9121332576553539,40,2011,BEL,26.3,82.8760942112417
38,26.5,2012,82.8379748210061,0.8275862068965516,0.17241379310344837,0.0,0.0,0.2,0.8,0.0,0.1175141871567323,0.8824858128432677,41,2012,BEL,26.5,82.8379748210061
39,25.9,2013,82.9345025035941,1.0,0.0,0.0,0.0,8.512866785146478e-11,0.9999999999148713,0.0,0.04243955651132358,0.9575604434886764,42,2013,BEL,25.9,82.9345025035941
40,25.9,2014,83.5209262253008,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,43,2014,BEL,25.9,83.5209262253008
41,26.2,2015,83.1667746884883,0.931034482758621,0.0689655172413791,0.0,0.0,0.0,1.0,0.0,0.0,1.0,44,2015,BEL,26.2,83.1667746884883
42,26.3,2016,83.6945160821092,0.8965517241379307,0.10344827586206926,0.0,0.0,0.0,1.0,0.0,0.0,1.0,45,2016,BEL,26.3,83.6945160821092
43,26.0,2017,83.6682703069476,0.9999999999974715,2.5285520618187127e-12,0.0,0.0,0.0,1.0,0.0,0.0,1.0,46,2017,BEL,26.0,83.6682703069476
44,25.6,2018,83.7025529421444,1.0,0.0,0.0,0.0,0.0,0.9999994561221683,0.0,0.0,1.0,47,2018,BEL,25.6,83.7025529421444
