,gini,year,e0,gini_low,gini_medium,gini_high,year_low,year_medium,year_high,e0_low,e0_medium,e0_high,index,year,country,gini,e0
0,27.0,1995,73.2951870731965,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,0.0,0.8945145003201993,0.10548549967980077,0.0,0,1995,AUT,27.0,73.2951870731965
1,26.0,1996,73.6604765772967,0.9999999999975557,2.444266993091421e-12,0.0,1.0,0.0,0.0,0.7484285039735812,0.25157149602641893,0.0,1,1996,AUT,26.0,73.6604765772967
2,25.0,1997,74.0169699697756,1.0,0.0,0.0,1.0,0.0,0.0,0.6058602345688856,0.3941397654311144,0.0,2,1997,AUT,25.0,74.0169699697756
3,24.0,1998,74.4419140740304,1.0,0.0,0.0,1.0,0.0,0.0,0.4359172655952865,0.5640827344047136,0.0,3,1998,AUT,24.0,74.4419140740304
4,26.0,1999,74.7771117660551,0.9999999999975557,2.444266993091421e-12,0.0,1.0,0.0,0.0,0.3018655387789484,0.6981344612210516,0.0,4,1999,AUT,26.0,74.7771117660551
5,24.0,2000,75.0953309719233,1.0,0.0,0.0,1.0,0.0,0.0,0.17460382108904193,0.8253961789109581,0.0,5,2000,AUT,24.0,75.0953309719233
6,24.0,2001,75.5896653549347,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9762955887327174,0.023704411267282635,6,2001,AUT,24.0,75.5896653549347
7,27.4,2003,75.9139978780198,0.5333333333333338,0.4666666666666662,0.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.8431353076189053,0.15686469238109466,8,2003,AUT,27.4,75.9139978780198
8,25.8,2004,76.3906276198236,1.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.6474467907779828,0.3525532092220172,9,2004,AUT,25.8,76.3906276198236
9,26.3,2005,76.6193295456526,0.8999999999999998,0.10000000000000024,0.0,0.5,0.5,0.0,0.0,0.5535492918624368,0.44645070813756316,10,2005,AUT,26.3,76.6193295456526
10,25.3,2006,77.0752570540204,1.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.36636043209506575,0.6336395679049341,11,2006,AUT,25.3,77.0752570540204
11,26.2,2007,77.290482544666,0.9333333333333336,0.06666666666666643,0.0,0.16666666666666666,0.8333333333333334,0.0,0.0,0.27799591482552544,0.7220040851744745,12,2007,AUT,26.2,77.290482544666
12,27.7,2008,77.5853866559153,0.43333333333333357,0.5666666666666664,0.0,5.1234852449804645e-11,0.9999999998872833,6.148182293976556e-11,0.0,0.15691797302050098,0.843082026979499,13,2008,AUT,27.7,77.5853866559153
13,27.5,2009,77.3977083772823,0.5,0.5,0.0,0.0,0.7999999999999999,0.19999999999999998,0.0,0.23397250983970583,0.7660274901602941,14,2009,AUT,27.5,77.3977083772823
14,28.3,2010,77.6576622866885,0.2333333333333331,0.7666666666666669,0.0,0.0,0.6,0.4,0.0,0.12724397295448617,0.8727560270455138,15,2010,AUT,28.3,77.6576622866885
15,27.4,2011,78.0798354967542,0.5333333333333338,0.4666666666666662,0.0,0.0,0.39999999999999997,0.6,0.0,0.0,1.0,16,2011,AUT,27.4,78.0798354967542
16,27.6,2012,78.2609439065802,0.4666666666666662,0.5333333333333338,0.0,0.0,0.2,0.8,0.0,0.0,1.0,17,2012,AUT,27.6,78.2609439065802
17,27.0,2013,78.4589873193501,0.6666666666666666,0.3333333333333333,0.0,0.0,8.512866785146478e-11,0.9999999999148713,0.0,0.0,1.0,18,2013,AUT,27.0,78.4589873193501
18,27.6,2014,78.9175650325942,0.4666666666666662,0.5333333333333338,0.0,0.0,0.0,1.0,0.0,0.0,1.0,19,2014,AUT,27.6,78.9175650325942
19,27.2,2015,78.6362367944513,0.6000000000000002,0.39999999999999974,0.0,0.0,0.0,1.0,0.0,0.0,1.0,20,2015,AUT,27.2,78.6362367944513
20,27.2,2016,79.142136860583,0.6000000000000002,0.39999999999999974,0.0,0.0,0.0,1.0,0.0,0.0,1.0,21,2016,AUT,27.2,79.142136860583
21,27.9,2017,79.2849708454663,0.36666666666666714,0.6333333333333329,0.0,0.0,0.0,1.0,0.0,0.0,1.0,22,2017,AUT,27.9,79.2849708454663
22,29.0,1995,73.4328296473364,3.666400516522117e-12,0.9999999999928963,3.4372504464324706e-12,1.0,0.0,0.0,0.8394687014203075,0.16053129857969253,0.0,24,1995,BEL,29.0,73.4328296473364
23,28.0,1996,73.8313097942922,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,0.0,0.6801091560761986,0.3198908439238014,0.0,25,1996,BEL,28.0,73.8313097942922
24,27.0,1997,74.1574837170138,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,0.0,0.5496662006990847,0.4503337993009153,0.0,26,1997,BEL,27.0,74.1574837170138
25,27.0,1998,74.2967799700695,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,0.0,0.49395906516252935,0.5060409348374706,0.0,27,1998,BEL,27.0,74.2967799700695
26,29.0,1999,74.3651107526095,3.666400516522117e-12,0.9999999999928963,3.4372504464324706e-12,1.0,0.0,0.0,0.4666323275025224,0.5333676724974776,0.0,28,1999,BEL,29.0,74.3651107526095
27,30.0,2000,74.5665663815049,0.0,0.6875000000000003,0.3124999999999997,1.0,0.0,0.0,0.3860665134386548,0.6139334865613452,0.0,29,2000,BEL,30.0,74.5665663815049
28,28.0,2001,74.9197637588794,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,0.0,0.2448163811419097,0.7551836188580903,0.0,30,2001,BEL,28.0,74.9197637588794
29,28.3,2003,75.362065350896,0.2333333333333331,0.7666666666666669,0.0,0.8333333333333334,0.16666666666666666,0.0,0.0679318333238683,0.9320681666761317,0.0,32,2003,BEL,28.3,75.362065350896
30,26.1,2004,75.9730035109036,0.9666666666666662,0.033333333333333805,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.8189095328265237,0.18109046717347635,33,2004,BEL,26.1,75.9730035109036
31,28.0,2005,76.1481043367714,0.3333333333333333,0.6666666666666666,0.0,0.5,0.5,0.0,0.0,0.7470188849999445,0.25298111500005543,34,2005,BEL,28.0,76.1481043367714
32,27.8,2006,76.5240674882838,0.39999999999999974,0.6000000000000002,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.5926607636878538,0.40733923631214625,35,2006,BEL,27.8,76.5240674882838
33,26.3,2007,76.7416414387488,0.8999999999999998,0.10000000000000024,0.0,0.16666666666666666,0.8333333333333334,0.0,0.0,0.5033320459528174,0.4966679540471825,36,2007,BEL,26.3,76.7416414387488
34,27.5,2008,76.7714119348237,0.5,0.5,0.0,5.1234852449804645e-11,0.9999999998872833,6.148182293976556e-11,0.0,0.49110925809138706,0.5088907419086129,37,2008,BEL,27.5,76.7714119348237
35,26.4,2009,77.1625934460907,0.8666666666666671,0.13333333333333286,0.0,0.0,0.7999999999999999,0.19999999999999998,0.0,0.3305029781187483,0.6694970218812517,38,2009,BEL,26.4,77.1625934460907
36,26.6,2010,77.376801130325,0.7999999999999995,0.20000000000000048,0.0,0.0,0.6,0.4,0.0,0.24255633873132307,0.7574436612686769,39,2010,BEL,26.6,77.376801130325
37,26.3,2011,77.7677774736504,0.8999999999999998,0.10000000000000024,0.0,0.0,0.39999999999999997,0.6,0.0,0.0820342939766615,0.9179657060233385,40,2011,BEL,26.3,77.7677774736504
38,26.5,2012,77.6340493674343,0.8333333333333334,0.16666666666666666,0.0,0.0,0.2,0.8,0.0,0.13693866202204738,0.8630613379779527,41,2012,BEL,26.5,77.6340493674343
39,25.9,2013,77.9506328675164,1.0,0.0,0.0,0.0,8.512866785146478e-11,0.9999999999148713,0.0,0.006959875232707507,0.9930401247672924,42,2013,BEL,25.9,77.9506328675164
40,25.9,2014,78.5771421183168,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,43,2014,BEL,25.9,78.5771421183168
41,26.2,2015,78.5682806777448,0.9333333333333336,0.06666666666666643,0.0,0.0,0.0,1.0,0.0,0.0,1.0,44,2015,BEL,26.2,78.5682806777448
42,26.3,2016,78.7987134776032,0.8999999999999998,0.10000000000000024,0.0,0.0,0.0,1.0,0.0,0.0,1.0,45,2016,BEL,26.3,78.7987134776032
43,26.0,2017,79.0072047539358,0.9999999999975557,2.444266993091421e-12,0.0,0.0,0.0,1.0,0.0,0.0,1.0,46,2017,BEL,26.0,79.0072047539358
44,25.6,2018,79.2108898573773,1.0,0.0,0.0,0.0,0.0,0.9999994561221683,0.0,0.0,1.0,47,2018,BEL,25.6,79.2108898573773
45,25.0,2000,68.3050638890666,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,53,2000,BGR,25.0,68.3050638890666
46,26.0,2001,68.5302378482227,0.9999999999975557,2.444266993091421e-12,0.0,1.0,0.0,0.0,1.0,0.0,0.0,54,2001,BGR,26.0,68.5302378482227
47,26.0,2002,68.8272670904641,0.9999999999975557,2.444266993091421e-12,0.0,0.999999999972412,2.758800138719039e-11,0.0,1.0,0.0,0.0,55,2002,BGR,26.0,68.8272670904641
48,31.2,2006,69.248287534146,0.0,0.31250000000000083,0.6874999999999991,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,0.0,59,2006,BGR,31.2,69.248287534146
49,35.3,2007,69.5506580878399,0.0,0.0,1.0,0.16666666666666666,0.8333333333333334,0.0,1.0,0.0,0.0,60,2007,BGR,35.3,69.5506580878399
50,35.9,2008,69.8421717420496,0.0,0.0,1.0,5.1234852449804645e-11,0.9999999998872833,6.148182293976556e-11,1.0,0.0,0.0,61,2008,BGR,35.9,69.8421717420496
51,33.4,2009,70.1682642958057,0.0,0.0,1.0,0.0,0.7999999999999999,0.19999999999999998,1.0,0.0,0.0,62,2009,BGR,33.4,70.1682642958057
52,33.2,2010,70.3827551216299,0.0,0.0,1.0,0.0,0.6,0.4,1.0,0.0,0.0,63,2010,BGR,33.2,70.3827551216299
53,35.0,2011,70.7263601329536,0.0,0.0,1.0,0.0,0.39999999999999997,0.6,1.0,0.0,0.0,64,2011,BGR,35.0,70.7263601329536
54,33.6,2012,70.911987355534,0.0,0.0,1.0,0.0,0.2,0.8,1.0,0.0,0.0,65,2012,BGR,33.6,70.911987355534
55,35.4,2013,71.297000689087,0.0,0.0,1.0,0.0,8.512866785146478e-11,0.9999999999148713,1.0,0.0,0.0,66,2013,BGR,35.4,71.297000689087
56,35.4,2014,71.0781418084555,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,67,2014,BGR,35.4,71.0781418084555
57,37.0,2015,71.2283736976539,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,68,2015,BGR,37.0,71.2283736976539
58,37.7,2016,71.3107133584126,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,69,2016,BGR,37.7,71.3107133584126
59,40.2,2017,71.3660452036017,0.0,0.0,2.468425464030588e-08,0.0,0.0,1.0,1.0,0.0,0.0,70,2017,BGR,40.2,71.3660452036017
60,25.0,2001,72.0238501855735,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,78,2001,CZE,25.0,72.0238501855735
61,26.0,2005,72.9512712862833,0.9999999999975557,2.444266993091421e-12,0.0,0.5,0.5,0.0,1.0,0.0,0.0,82,2005,CZE,26.0,72.9512712862833
62,25.3,2006,73.4764927263505,1.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.8220070324434033,0.17799296755659663,0.0,83,2006,CZE,25.3,73.4764927263505
63,25.3,2007,73.7002834107717,1.0,0.0,0.0,0.16666666666666666,0.8333333333333334,0.0,0.7325090185672777,0.2674909814327222,0.0,84,2007,CZE,25.3,73.7002834107717
64,24.7,2008,73.9669703818162,1.0,0.0,0.0,5.1234852449804645e-11,0.9999999998872833,6.148182293976556e-11,0.6258559901052024,0.37414400989479757,0.0,85,2008,CZE,24.7,73.9669703818162
65,25.1,2009,74.1591480241329,1.0,0.0,0.0,0.0,0.7999999999999999,0.19999999999999998,0.5490006136482896,0.4509993863517105,0.0,86,2009,CZE,25.1,74.1591480241329
66,24.9,2010,74.4330554509094,1.0,0.0,0.0,0.0,0.6,0.4,0.4394599920365463,0.5605400079634537,0.0,87,2010,CZE,24.9,74.4330554509094
67,25.2,2011,74.7194095128088,1.0,0.0,0.0,0.0,0.39999999999999997,0.6,0.3249417319416706,0.6750582680583295,0.0,88,2011,CZE,25.2,74.7194095128088
68,24.9,2012,74.9651419078249,1.0,0.0,0.0,0.0,0.2,0.8,0.22666882413120917,0.7733311758687909,0.0,89,2012,CZE,24.9,74.9651419078249
69,24.6,2013,75.147734910541,1.0,0.0,0.0,0.0,8.512866785146478e-11,0.9999999999148713,0.15364652146908392,0.846353478530916,0.0,90,2013,CZE,24.6,75.147734910541
70,25.1,2014,75.7170123420349,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9240110986052459,0.0759889013947541,91,2014,CZE,25.1,75.7170123420349
71,25.0,2015,75.6312471495953,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.959223469620045,0.04077653037995502,92,2015,CZE,25.0,75.6312471495953
72,25.1,2016,76.0467980128151,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.788611934159209,0.211388065840791,93,2016,CZE,25.1,76.0467980128151
73,24.5,2017,76.007551903504,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8047250975841402,0.19527490241585985,94,2017,CZE,24.5,76.007551903504
74,29.0,1995,73.1192255235465,3.666400516522117e-12,0.9999999999928963,3.4372504464324706e-12,1.0,0.0,0.0,0.9648847628401522,0.03511523715984775,0.0,96,1995,DEU,29.0,73.1192255235465
75,27.0,1996,73.4212431122553,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,0.0,0.8441023700653949,0.15589762993460504,0.0,97,1996,DEU,27.0,73.4212431122553
76,25.0,1997,73.8790125703962,1.0,0.0,0.0,1.0,0.0,0.0,0.6610319378768457,0.3389680621231543,0.0,98,1997,DEU,25.0,73.8790125703962
77,25.0,1998,74.3155819242648,1.0,0.0,0.0,1.0,0.0,0.0,0.4864398176039353,0.5135601823960646,0.0,99,1998,DEU,25.0,74.3155819242648
78,25.0,1999,74.5762233715882,1.0,0.0,0.0,1.0,0.0,0.0,0.3822045053541264,0.6177954946458735,0.0,100,1999,DEU,25.0,74.5762233715882
79,25.0,2000,74.8576991870785,1.0,0.0,0.0,1.0,0.0,0.0,0.269637145789103,0.730362854210897,0.0,101,2000,DEU,25.0,74.8576991870785
80,25.0,2001,75.2765808133198,1.0,0.0,0.0,1.0,0.0,0.0,0.10211867336136476,0.8978813266386353,0.0,102,2001,DEU,25.0,75.2765808133198
81,26.1,2005,76.3566417781837,0.9666666666666662,0.033333333333333805,0.0,0.5,0.5,0.0,0.0,0.6614002610732563,0.3385997389267437,106,2005,DEU,26.1,76.3566417781837
82,26.8,2006,76.753164155801,0.7333333333333331,0.2666666666666669,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.4986011968006235,0.5013988031993766,107,2006,DEU,26.8,76.753164155801
83,30.4,2007,76.9131699112971,0.0,0.5625000000000009,0.43749999999999917,0.16666666666666666,0.8333333333333334,0.0,0.0,0.4329080890634819,0.567091910936518,108,2007,DEU,30.4,76.9131699112971
84,30.2,2008,77.1069071602741,0.0,0.6250000000000006,0.37499999999999944,5.1234852449804645e-11,0.9999999998872833,6.148182293976556e-11,0.0,0.3533659380309605,0.6466340619690395,109,2008,DEU,30.2,77.1069071602741
85,29.1,2009,77.2354606481443,0.0,0.9687499999999996,0.031250000000000416,0.0,0.7999999999999999,0.19999999999999998,0.0,0.3005860983154595,0.6994139016845405,110,2009,DEU,29.1,77.2354606481443
