date,,CONS.EU.TOT.5.PP.M,CONS.EU.TOT.5.P.M,CONS.EU.TOT.5.E.M,CONS.EU.TOT.5.M.M,CONS.EU.TOT.5.MM.M,CONS.EU.TOT.5.N.M,CONS.EU.TOT.5.B.M,,CONS.EA.TOT.5.PP.M,CONS.EA.TOT.5.P.M,CONS.EA.TOT.5.E.M,CONS.EA.TOT.5.M.M,CONS.EA.TOT.5.MM.M,CONS.EA.TOT.5.N.M,CONS.EA.TOT.5.B.M,,CONS.BE.TOT.5.PP.M,CONS.BE.TOT.5.P.M,CONS.BE.TOT.5.E.M,CONS.BE.TOT.5.M.M,CONS.BE.TOT.5.MM.M,CONS.BE.TOT.5.N.M,CONS.BE.TOT.5.B.M,,CONS.BG.TOT.5.PP.M,CONS.BG.TOT.5.P.M,CONS.BG.TOT.5.E.M,CONS.BG.TOT.5.M.M,CONS.BG.TOT.5.MM.M,CONS.BG.TOT.5.N.M,CONS.BG.TOT.5.B.M,,CONS.CZ.TOT.5.PP.M,CONS.CZ.TOT.5.P.M,CONS.CZ.TOT.5.E.M,CONS.CZ.TOT.5.M.M,CONS.CZ.TOT.5.MM.M,CONS.CZ.TOT.5.N.M,CONS.CZ.TOT.5.B.M,,CONS.DK.TOT.5.PP.M,CONS.DK.TOT.5.P.M,CONS.DK.TOT.5.E.M,CONS.DK.TOT.5.M.M,CONS.DK.TOT.5.MM.M,CONS.DK.TOT.5.N.M,CONS.DK.TOT.5.B.M,,CONS.DE.TOT.5.PP.M,CONS.DE.TOT.5.P.M,CONS.DE.TOT.5.E.M,CONS.DE.TOT.5.M.M,CONS.DE.TOT.5.MM.M,CONS.DE.TOT.5.N.M,CONS.DE.TOT.5.B.M,,CONS.EE.TOT.5.PP.M,CONS.EE.TOT.5.P.M,CONS.EE.TOT.5.E.M,CONS.EE.TOT.5.M.M,CONS.EE.TOT.5.MM.M,CONS.EE.TOT.5.N.M,CONS.EE.TOT.5.B.M,,CONS.IE.TOT.5.PP.M,CONS.IE.TOT.5.P.M,CONS.IE.TOT.5.E.M,CONS.IE.TOT.5.M.M,CONS.IE.TOT.5.MM.M,CONS.IE.TOT.5.N.M,CONS.IE.TOT.5.B.M,,CONS.EL.TOT.5.PP.M,CONS.EL.TOT.5.P.M,CONS.EL.TOT.5.E.M,CONS.EL.TOT.5.M.M,CONS.EL.TOT.5.MM.M,CONS.EL.TOT.5.N.M,CONS.EL.TOT.5.B.M,,CONS.ES.TOT.5.PP.M,CONS.ES.TOT.5.P.M,CONS.ES.TOT.5.E.M,CONS.ES.TOT.5.M.M,CONS.ES.TOT.5.MM.M,CONS.ES.TOT.5.N.M,CONS.ES.TOT.5.B.M,,CONS.FR.TOT.5.PP.M,CONS.FR.TOT.5.P.M,CONS.FR.TOT.5.E.M,CONS.FR.TOT.5.M.M,CONS.FR.TOT.5.MM.M,CONS.FR.TOT.5.N.M,CONS.FR.TOT.5.B.M,,CONS.HR.TOT.5.PP.M,CONS.HR.TOT.5.P.M,CONS.HR.TOT.5.E.M,CONS.HR.TOT.5.M.M,CONS.HR.TOT.5.MM.M,CONS.HR.TOT.5.N.M,CONS.HR.TOT.5.B.M,,CONS.IT.TOT.5.PP.M,CONS.IT.TOT.5.P.M,CONS.IT.TOT.5.E.M,CONS.IT.TOT.5.M.M,CONS.IT.TOT.5.MM.M,CONS.IT.TOT.5.N.M,CONS.IT.TOT.5.B.M,,CONS.CY.TOT.5.PP.M,CONS.CY.TOT.5.P.M,CONS.CY.TOT.5.E.M,CONS.CY.TOT.5.M.M,CONS.CY.TOT.5.MM.M,CONS.CY.TOT.5.N.M,CONS.CY.TOT.5.B.M,,CONS.LV.TOT.5.PP.M,CONS.LV.TOT.5.P.M,CONS.LV.TOT.5.E.M,CONS.LV.TOT.5.M.M,CONS.LV.TOT.5.MM.M,CONS.LV.TOT.5.N.M,CONS.LV.TOT.5.B.M,,CONS.LT.TOT.5.PP.M,CONS.LT.TOT.5.P.M,CONS.LT.TOT.5.E.M,CONS.LT.TOT.5.M.M,CONS.LT.TOT.5.MM.M,CONS.LT.TOT.5.N.M,CONS.LT.TOT.5.B.M,,CONS.LU.TOT.5.PP.M,CONS.LU.TOT.5.P.M,CONS.LU.TOT.5.E.M,CONS.LU.TOT.5.M.M,CONS.LU.TOT.5.MM.M,CONS.LU.TOT.5.N.M,CONS.LU.TOT.5.B.M,,CONS.HU.TOT.5.PP.M,CONS.HU.TOT.5.P.M,CONS.HU.TOT.5.E.M,CONS.HU.TOT.5.M.M,CONS.HU.TOT.5.MM.M,CONS.HU.TOT.5.N.M,CONS.HU.TOT.5.B.M,,CONS.MT.TOT.5.PP.M,CONS.MT.TOT.5.P.M,CONS.MT.TOT.5.E.M,CONS.MT.TOT.5.M.M,CONS.MT.TOT.5.MM.M,CONS.MT.TOT.5.N.M,CONS.MT.TOT.5.B.M,,CONS.NL.TOT.5.PP.M,CONS.NL.TOT.5.P.M,CONS.NL.TOT.5.E.M,CONS.NL.TOT.5.M.M,CONS.NL.TOT.5.MM.M,CONS.NL.TOT.5.N.M,CONS.NL.TOT.5.B.M,,CONS.AT.TOT.5.PP.M,CONS.AT.TOT.5.P.M,CONS.AT.TOT.5.E.M,CONS.AT.TOT.5.M.M,CONS.AT.TOT.5.MM.M,CONS.AT.TOT.5.N.M,CONS.AT.TOT.5.B.M,,CONS.PL.TOT.5.PP.M,CONS.PL.TOT.5.P.M,CONS.PL.TOT.5.E.M,CONS.PL.TOT.5.M.M,CONS.PL.TOT.5.MM.M,CONS.PL.TOT.5.N.M,CONS.PL.TOT.5.B.M,,CONS.PT.TOT.5.PP.M,CONS.PT.TOT.5.P.M,CONS.PT.TOT.5.E.M,CONS.PT.TOT.5.M.M,CONS.PT.TOT.5.MM.M,CONS.PT.TOT.5.N.M,CONS.PT.TOT.5.B.M,,CONS.RO.TOT.5.PP.M,CONS.RO.TOT.5.P.M,CONS.RO.TOT.5.E.M,CONS.RO.TOT.5.M.M,CONS.RO.TOT.5.MM.M,CONS.RO.TOT.5.N.M,CONS.RO.TOT.5.B.M,,CONS.SI.TOT.5.PP.M,CONS.SI.TOT.5.P.M,CONS.SI.TOT.5.E.M,CONS.SI.TOT.5.M.M,CONS.SI.TOT.5.MM.M,CONS.SI.TOT.5.N.M,CONS.SI.TOT.5.B.M,,CONS.SK.TOT.5.PP.M,CONS.SK.TOT.5.P.M,CONS.SK.TOT.5.E.M,CONS.SK.TOT.5.M.M,CONS.SK.TOT.5.MM.M,CONS.SK.TOT.5.N.M,CONS.SK.TOT.5.B.M,,CONS.FI.TOT.5.PP.M,CONS.FI.TOT.5.P.M,CONS.FI.TOT.5.E.M,CONS.FI.TOT.5.M.M,CONS.FI.TOT.5.MM.M,CONS.FI.TOT.5.N.M,CONS.FI.TOT.5.B.M,,CONS.SE.TOT.5.PP.M,CONS.SE.TOT.5.P.M,CONS.SE.TOT.5.E.M,CONS.SE.TOT.5.M.M,CONS.SE.TOT.5.MM.M,CONS.SE.TOT.5.N.M,CONS.SE.TOT.5.B.M,,CONS.UK.TOT.5.PP.M,CONS.UK.TOT.5.P.M,CONS.UK.TOT.5.E.M,CONS.UK.TOT.5.M.M,CONS.UK.TOT.5.MM.M,CONS.UK.TOT.5.N.M,CONS.UK.TOT.5.B.M,,CONS.ME.TOT.5.PP.M,CONS.ME.TOT.5.P.M,CONS.ME.TOT.5.E.M,CONS.ME.TOT.5.M.M,CONS.ME.TOT.5.MM.M,CONS.ME.TOT.5.N.M,CONS.ME.TOT.5.B.M,,CONS.MK.TOT.5.PP.M,CONS.MK.TOT.5.P.M,CONS.MK.TOT.5.E.M,CONS.MK.TOT.5.M.M,CONS.MK.TOT.5.MM.M,CONS.MK.TOT.5.N.M,CONS.MK.TOT.5.B.M,,CONS.AL.TOT.5.PP.M,CONS.AL.TOT.5.P.M,CONS.AL.TOT.5.E.M,CONS.AL.TOT.5.M.M,CONS.AL.TOT.5.MM.M,CONS.AL.TOT.5.N.M,CONS.AL.TOT.5.B.M,,CONS.RS.TOT.5.PP.M,CONS.RS.TOT.5.P.M,CONS.RS.TOT.5.E.M,CONS.RS.TOT.5.M.M,CONS.RS.TOT.5.MM.M,CONS.RS.TOT.5.N.M,CONS.RS.TOT.5.B.M,,CONS.TR.TOT.5.PP.M,CONS.TR.TOT.5.P.M,CONS.TR.TOT.5.E.M,CONS.TR.TOT.5.M.M,CONS.TR.TOT.5.MM.M,CONS.TR.TOT.5.N.M,CONS.TR.TOT.5.B.M
31/01/1985,,21.72,35.09,31.69,9.32,0.88,1.27,34.59,,21.88,35.24,31.54,9.14,0.90,1.27,34.92,,61.80,27.70,7.80,1.70,0.00,1.00,74.80,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,16.50,30.20,36.40,15.30,0.30,1.20,23.65,,5.60,24.10,51.40,15.00,2.20,1.70,9.22,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,75.30,,12.80,40.80,32.70,11.60,0.30,1.80,27.10,,NA,NA,NA,NA,NA,NA,NA,,37.70,35.40,20.10,5.80,0.10,0.80,52.40,,NA,NA,NA,NA,NA,NA,NA,,24.90,49.40,19.60,5.00,0.10,1.00,47.00,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,20.52,46.10,23.02,8.31,0.47,1.57,38.95,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,15,27,42,13,1,2,21,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
28/02/1985,,22.27,34.95,32.00,8.90,0.67,1.11,35.48,,22.44,35.09,31.87,8.71,0.68,1.11,35.84,,61.80,27.70,7.80,1.70,0.00,1.00,74.80,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,16.50,30.20,36.40,15.30,0.30,1.20,23.65,,5.10,25.80,51.60,14.10,1.40,1.80,10.82,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,75.30,,12.80,40.80,32.70,11.60,0.30,1.80,27.10,,NA,NA,NA,NA,NA,NA,NA,,37.70,35.40,20.10,5.80,0.10,0.80,52.40,,NA,NA,NA,NA,NA,NA,NA,,27.90,46.30,20.60,4.60,0.40,0.20,48.35,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,20.52,46.10,23.02,8.31,0.47,1.57,38.95,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,17,29,40,11,1,1,25,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
31/03/1985,,23.55,35.33,30.67,8.75,0.57,1.13,37.11,,23.76,35.49,30.50,8.55,0.58,1.13,37.51,,61.80,27.70,7.80,1.70,0.00,1.00,74.80,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,16.50,30.20,36.40,15.30,0.30,1.20,23.65,,6.90,24.70,51.70,14.00,1.20,1.60,12.32,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,75.30,,12.80,40.80,32.70,11.60,0.30,1.80,27.10,,NA,NA,NA,NA,NA,NA,NA,,37.70,35.40,20.10,5.80,0.10,0.80,52.40,,NA,NA,NA,NA,NA,NA,NA,,30.50,49.50,15.00,4.10,0.30,0.60,52.90,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,20.52,46.10,23.02,8.31,0.47,1.57,38.95,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,15,32,41,11,1,1,25,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
30/04/1985,,22.31,35.31,32.06,8.44,0.62,1.24,35.99,,22.38,35.38,31.98,8.39,0.64,1.23,36.13,,64.90,25.90,6.90,1.70,0.10,0.50,76.90,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,20.20,33.00,34.90,10.10,0.10,1.60,31.55,,6.60,25.40,51.40,13.80,1.20,1.60,12.47,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,76.50,,9.60,31.90,34.40,20.90,1.70,1.50,13.40,,NA,NA,NA,NA,NA,NA,NA,,32.10,36.70,24.10,6.00,0.00,1.00,47.45,,NA,NA,NA,NA,NA,NA,NA,,30.50,47.00,18.00,3.20,0.50,0.90,51.90,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,21.06,50.25,20.83,5.89,0.31,1.66,42.93,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,19,32,38,10,1,1,29,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
31/05/1985,,21.79,36.86,31.24,8.24,0.52,1.30,36.45,,21.84,36.98,31.13,8.18,0.53,1.29,36.60,,64.90,25.90,6.90,1.70,0.10,0.50,76.90,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,20.20,33.00,34.90,10.10,0.10,1.60,31.55,,6.50,26.60,50.40,13.50,1.10,1.90,13.22,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,76.50,,9.60,31.90,34.40,20.90,1.70,1.50,13.40,,NA,NA,NA,NA,NA,NA,NA,,32.10,36.70,24.10,6.00,0.00,1.00,47.45,,NA,NA,NA,NA,NA,NA,NA,,28.50,51.60,16.10,2.80,0.20,0.70,52.70,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,21.06,50.25,20.83,5.89,0.31,1.66,42.93,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,16,30,41,10,1,2,25,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
30/06/1985,,21.15,37.05,31.71,8.10,0.65,1.34,35.85,,21.18,37.17,31.62,8.04,0.67,1.33,35.98,,64.90,25.90,6.90,1.70,0.10,0.50,76.90,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,20.20,33.00,34.90,10.10,0.10,1.60,31.55,,5.20,30.70,48.80,11.90,1.20,2.20,14.67,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,76.50,,9.60,31.90,34.40,20.90,1.70,1.50,13.40,,NA,NA,NA,NA,NA,NA,NA,,32.10,36.70,24.10,6.00,0.00,1.00,47.45,,NA,NA,NA,NA,NA,NA,NA,,27.80,46.30,20.40,4.60,0.60,0.40,48.05,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,21.06,50.25,20.83,5.89,0.31,1.66,42.93,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,18,33,39,9,0,1,30,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
31/07/1985,,19.79,35.06,32.70,10.23,0.52,1.64,32.48,,19.76,35.21,32.60,10.21,0.53,1.63,32.54,,59.90,30.40,7.10,1.80,0.20,0.60,74.00,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,21.00,30.00,36.00,11.00,0.00,2.00,30.50,,4.90,24.20,52.20,15.40,1.00,2.20,9.57,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,64.90,,9.60,31.90,34.40,20.90,1.70,1.50,13.40,,NA,NA,NA,NA,NA,NA,NA,,31.40,35.30,24.10,7.40,0.00,1.60,45.35,,NA,NA,NA,NA,NA,NA,NA,,25.50,50.10,18.20,5.20,0.20,0.90,47.75,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,15.81,44.67,24.93,11.61,0.87,2.11,31.47,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,16,32,40,10,1,1,26,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
31/08/1985,,19.83,35.42,32.52,10.16,0.55,1.46,32.69,,19.80,35.58,32.41,10.13,0.57,1.45,32.76,,59.90,30.40,7.10,1.80,0.20,0.60,74.00,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,21.00,30.00,36.00,11.00,0.00,2.00,30.50,,5.00,25.20,51.70,15.20,1.10,1.70,10.17,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,64.90,,9.60,31.90,34.40,20.90,1.70,1.50,13.40,,NA,NA,NA,NA,NA,NA,NA,,31.40,35.30,24.10,7.40,0.00,1.60,45.35,,NA,NA,NA,NA,NA,NA,NA,,25.50,50.10,18.20,5.20,0.20,0.90,47.75,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,15.81,44.67,24.93,11.61,0.87,2.11,31.47,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,17,31,38,12,1,1,26,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
30/09/1985,,19.33,34.28,33.28,11.22,0.77,1.09,30.90,,19.28,34.41,33.20,11.23,0.79,1.06,30.91,,59.90,30.40,7.10,1.80,0.20,0.60,74.00,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,21.00,30.00,36.00,11.00,0.00,2.00,30.50,,4.50,24.40,50.50,17.90,1.70,1.00,7.32,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,64.90,,9.60,31.90,34.40,20.90,1.70,1.50,13.40,,NA,NA,NA,NA,NA,NA,NA,,31.40,35.30,24.10,7.40,0.00,1.60,45.35,,NA,NA,NA,NA,NA,NA,NA,,24.20,46.60,23.10,5.60,0.20,0.40,44.50,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,15.81,44.67,24.93,11.61,0.87,2.11,31.47,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,14,29,40,15,1,1,20,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
31/10/1985,,17.27,34.14,34.37,12.22,0.62,1.39,28.46,,17.36,34.41,34.15,12.09,0.62,1.38,28.77,,46.40,35.30,12.70,4.30,0.20,1.10,61.70,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,14.20,25.20,41.40,16.60,0.60,1.90,17.90,,5.00,24.50,52.90,15.10,1.00,1.60,9.97,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,66.90,,17.20,44.10,27.30,9.70,0.30,1.40,34.10,,NA,NA,NA,NA,NA,NA,NA,,21.70,34.40,28.70,13.60,0.20,1.20,31.90,,NA,NA,NA,NA,NA,NA,NA,,27.60,46.20,19.60,5.30,0.40,1.00,47.65,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,12.45,40.62,21.54,21.71,1.29,2.39,20.62,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,12,28,43,15,1,1,18,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
