,trans,ABG,infexp,infexp0,infexp1,infexp2,infexp0spread,infexp1spread,infexp2spread,trans_low,trans_medium,trans_high,ABG_low,ABG_medium,ABG_high,infexp_low,infexp_medium,infexp_high,infexp0_low,infexp0_medium,infexp0_high,infexp1_low,infexp1_medium,infexp1_high,infexp2_low,infexp2_medium,infexp2_high,index,country,date,trans,ABG,infexp,infrate,infexp0,infexp1,infexp2,infexp0spread,infexp1spread,infexp2spread
0,9.5,-5.95238095238095,3.61,4.22,4.270446773,4.270446773,0.618600571,0.237881898,0.237881898,1.0,0.0,0.0,0.47735893232563525,0.5226410676743648,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,czechia,13,9.5,-5.95238095238095,3.61,3.7,4.22,4.270446773,4.270446773,0.618600571,0.237881898,0.237881898
1,9.5,25.8823529411765,3.57,4.06,3.4814407430000003,3.4814407430000003,0.35590260799999995,0.276764704,0.276764704,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1,czechia,14,9.5,25.8823529411765,3.57,3.9,4.06,3.4814407430000003,3.4814407430000003,0.35590260799999995,0.276764704,0.276764704
2,9.5,-15.2963671128107,3.53,3.92,4.2641315539999995,4.27538999,0.282842712,0.299959227,0.288921333,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2,czechia,15,9.5,-15.2963671128107,3.53,3.7,3.92,4.2641315539999995,4.27538999,0.282842712,0.299959227,0.288921333
3,9.5,-18.6666666666667,3.42,3.72,3.629972262,3.631613933,0.357770876,0.33024552100000004,0.308967504,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3,czechia,16,9.5,-18.6666666666667,3.42,3.2,3.72,3.629972262,3.631613933,0.357770876,0.33024552100000004,0.308967504
4,9.5,19.6506550218341,3.33,3.4,3.2095852660000004,3.2192868789999998,0.581090928,0.32921623699999997,0.309518079,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4,czechia,17,9.5,19.6506550218341,3.33,2.5,3.4,3.2095852660000004,3.2192868789999998,0.581090928,0.32921623699999997,0.309518079
5,9.5,0.0,3.11,2.9,2.347852596,2.337270255,1.030857248,0.367618612,0.33691115,1.0,0.0,0.0,0.0,0.8036127498108557,0.1963872501891443,0.0,0.18867924528301877,0.8113207547169813,0.0,0.1886792452830188,0.8113207547169813,0.0,0.18867924528301877,0.8113207547169812,0.0,0.18867924528301877,0.8113207547169813,5,czechia,18,9.5,0.0,3.11,1.2,2.9,2.347852596,2.337270255,1.030857248,0.367618612,0.33691115
6,9.5,10.9090909090909,2.91,2.24,0.723566998,0.155225301,1.3556056459999999,0.45333524299999994,0.37183814200000004,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4402515723270436,0.5597484276729564,0.0,0.4402515723270436,0.5597484276729563,0.0,0.4402515723270436,0.5597484276729564,0.0,0.4402515723270436,0.5597484276729564,6,czechia,19,9.5,10.9090909090909,2.91,0.6,2.24,0.723566998,0.155225301,1.3556056459999999,0.45333524299999994,0.37183814200000004
7,9.5,-5.06756756756757,2.79,1.62,0.684926193,0.35138287700000004,1.3515423290000002,0.44589749799999995,0.374450369,1.0,0.0,0.0,0.38358458156929387,0.616415418430706,0.0,0.0,0.5911949685534589,0.4088050314465412,0.0,0.5911949685534589,0.4088050314465412,0.0,0.5911949685534588,0.4088050314465411,0.0,0.5911949685534589,0.4088050314465411,7,czechia,20,9.5,-5.06756756756757,2.79,0.6,1.62,0.684926193,0.35138287700000004,1.3515423290000002,0.44589749799999995,0.374450369
8,9.5,-25.8215962441315,2.65,1.14,0.690782978,0.658546108,1.1034793459999999,0.446049651,0.36713506,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7672955974842767,0.23270440251572336,0.0,0.7672955974842767,0.23270440251572336,0.0,0.7672955974842767,0.23270440251572336,0.0,0.7672955974842767,0.23270440251572336,8,czechia,21,9.5,-25.8215962441315,2.65,0.8,1.14,0.690782978,0.658546108,1.1034793459999999,0.446049651,0.36713506
9,9.5,-10.752688172043001,2.39,0.76,1.077848665,1.025891697,0.7476630259999999,0.36478323799999995,0.36979864700000004,1.0,0.0,0.0,0.9861054100359934,0.01389458996400658,0.0,0.10344827586206862,0.8965517241379314,0.0,0.10344827586206862,0.8965517241379314,0.0,0.10344827586206862,0.8965517241379314,0.0,0.10344827586206862,0.8965517241379314,0.0,9,czechia,22,9.5,-10.752688172043001,2.39,0.6,0.76,1.077848665,1.025891697,0.7476630259999999,0.36478323799999995,0.36979864700000004
