,protoform,DoT,DoS
0,"Among all records, most are infexp1_low",0.0,0.0
1,"Among all records, most are trans_low",0.0,0.0
2,"Among all records, most are ABG_low",1.0,1.0
3,"Among all records, most are ABG_low and infexp1_low",0.0,1.0
4,"Among all records, most are trans_low and infexp1_low",0.0,0.0
5,"Among all records, most are infexp1_medium",0.0,0.0
6,"Among all records, most are trans_medium",0.0,0.0
7,"Among all records, most are ABG_medium",0.0,0.0
8,"Among all records, most are ABG_medium and infexp1_medium",0.0,0.0
9,"Among all records, most are trans_medium and infexp1_medium",0.0,0.0
10,"Among all records, most are infexp1_high",0.18857568974113564,0.0
11,"Among all records, most are trans_high",1.0,1.0
12,"Among all records, most are ABG_high",0.0,0.0
13,"Among all records, most are ABG_high and infexp1_high",0.0,0.0
14,"Among all records, most are trans_high and infexp1_high",0.0,1.0
15,"Among all trans_low records, most are infexp1_low",,0.0
16,"Among all trans_low records, most are infexp1_medium",,0.0
17,"Among all trans_low records, most are infexp1_high",,0.0
18,"Among all trans_low records, most are ABG_low",,0.0
19,"Among all trans_low records, most are ABG_medium",,0.0
20,"Among all trans_low records, most are ABG_high",,0.0
21,"Among all trans_medium records, most are infexp1_low",,0.0
22,"Among all trans_medium records, most are infexp1_medium",,0.0
23,"Among all trans_medium records, most are infexp1_high",,0.0
24,"Among all trans_medium records, most are ABG_low",,0.0
25,"Among all trans_medium records, most are ABG_medium",,0.0
26,"Among all trans_medium records, most are ABG_high",,0.0
27,"Among all trans_high records, most are infexp1_low",0.0,0.0
28,"Among all trans_high records, most are infexp1_medium",0.0,0.0
29,"Among all trans_high records, most are infexp1_high",0.1595119780578891,0.0
30,"Among all trans_high records, most are ABG_low",1.0,1.0
31,"Among all trans_high records, most are ABG_medium",0.0,0.0
32,"Among all trans_high records, most are ABG_high",0.0,0.0
33,"Among all infexp1_low records, most are trans_low",0.0,0.0
34,"Among all infexp1_low records, most are trans_medium",0.0,0.0
35,"Among all infexp1_low records, most are trans_high",1.0,0.0
36,"Among all infexp1_low records, most are ABG_low",1.0,0.0
37,"Among all infexp1_low records, most are ABG_medium",0.0,0.0
38,"Among all infexp1_low records, most are ABG_high",0.0,0.0
39,"Among all infexp1_medium records, most are trans_low",0.0,0.0
40,"Among all infexp1_medium records, most are trans_medium",0.0,0.0
41,"Among all infexp1_medium records, most are trans_high",1.0,0.0
42,"Among all infexp1_medium records, most are ABG_low",1.0,0.0
43,"Among all infexp1_medium records, most are ABG_medium",0.0,0.0
44,"Among all infexp1_medium records, most are ABG_high",0.0,0.0
45,"Among all infexp1_high records, most are trans_low",0.0,0.0
46,"Among all infexp1_high records, most are trans_medium",0.0,0.0
47,"Among all infexp1_high records, most are trans_high",1.0,0.0
48,"Among all infexp1_high records, most are ABG_low",1.0,0.0
49,"Among all infexp1_high records, most are ABG_medium",0.0,0.0
50,"Among all infexp1_high records, most are ABG_high",0.0,0.0
51,"Among all ABG_low records, most are trans_low",0.0,0.0
52,"Among all ABG_low records, most are trans_medium",0.0,0.0
53,"Among all ABG_low records, most are trans_high",1.0,1.0
54,"Among all ABG_low records, most are infexp1_low",0.0,0.0
55,"Among all ABG_low records, most are infexp1_medium",0.0,0.0
56,"Among all ABG_low records, most are infexp1_high",0.19242664310402952,0.0
57,"Among all ABG_medium records, most are trans_low",0.0,0.0
58,"Among all ABG_medium records, most are trans_medium",0.0,0.0
59,"Among all ABG_medium records, most are trans_high",1.0,0.0
60,"Among all ABG_medium records, most are infexp1_low",0.0,0.0
61,"Among all ABG_medium records, most are infexp1_medium",0.0,0.0
62,"Among all ABG_medium records, most are infexp1_high",0.5205681778950223,0.0
63,"Among all ABG_high records, most are trans_low",,0.0
64,"Among all ABG_high records, most are trans_medium",,0.0
65,"Among all ABG_high records, most are trans_high",,0.0
66,"Among all ABG_high records, most are infexp1_low",,0.0
67,"Among all ABG_high records, most are infexp1_medium",,0.0
68,"Among all ABG_high records, most are infexp1_high",,0.0
69,,0.0,0.0
70,,0.0,0.0
71,,0.0,0.0
72,,0.0,0.0
73,,0.0,0.0
74,,0.0,0.0
75,,0.0,0.0
76,,0.0,0.0
77,,0.0,0.0
78,,0.0,0.0
79,,0.0,0.0
80,,0.0,0.0
81,,0.0,0.0
82,,0.0,0.0
83,,0.0,0.0
84,,0.0,0.0
85,,0.0,0.0
86,,0.0,0.0
87,,0.0,0.0
88,,0.0,0.0
89,,0.0,0.0
