"";"year";"country";"gini";"e0"
"1";1995;"AUT";27;79.9565314473093
"2";1996;"AUT";26;80.0831412426584
"3";1997;"AUT";25;80.5351950250626
"4";1998;"AUT";24;80.8144691303452
"5";1999;"AUT";26;80.8350221478067
"6";2000;"AUT";24;81.1012196209085
"7";2001;"AUT";24;81.5650877533688
"8";2002;"AUT";NA;81.6577892102439
"9";2003;"AUT";27.4;81.5427630107313
"10";2004;"AUT";25.8;82.1045489080737
"11";2005;"AUT";26.3;82.2115035333489
"12";2006;"AUT";25.3;82.6418649444511
"13";2007;"AUT";26.2;82.8366416029807
"14";2008;"AUT";27.7;82.9559917968607
"15";2009;"AUT";27.5;82.8518937644338
"16";2010;"AUT";28.3;83.1300107279185
"17";2011;"AUT";27.4;83.4342777830525
"18";2012;"AUT";27.6;83.2943932557871
"19";2013;"AUT";27;83.5664966155985
"20";2014;"AUT";27.6;83.7367387749658
"21";2015;"AUT";27.2;83.5947326564689
"22";2016;"AUT";27.2;83.9507858919831
"23";2017;"AUT";27.9;83.9011103962573
"24";2018;"AUT";26.8;NA
"25";1995;"BEL";29;80.1910521688344
"26";1996;"BEL";28;80.4722088551099
"27";1997;"BEL";27;80.5525255684931
"28";1998;"BEL";27;80.5642387673817
"29";1999;"BEL";29;80.8694943944133
"30";2000;"BEL";30;80.9030407782598
"31";2001;"BEL";28;81.1658549121329
"32";2002;"BEL";NA;81.1913110997467
"33";2003;"BEL";28.3;81.2036256879954
"34";2004;"BEL";26.1;81.8651214484278
"35";2005;"BEL";28;81.8645156754851
"36";2006;"BEL";27.8;82.154598525662
"37";2007;"BEL";26.3;82.2177768576329
"38";2008;"BEL";27.5;82.3134404491695
"39";2009;"BEL";26.4;82.4400672565375
"40";2010;"BEL";26.6;82.648050154226
"41";2011;"BEL";26.3;82.8760942112417
"42";2012;"BEL";26.5;82.8379748210061
"43";2013;"BEL";25.9;82.9345025035941
"44";2014;"BEL";25.9;83.5209262253008
"45";2015;"BEL";26.2;83.1667746884883
"46";2016;"BEL";26.3;83.6945160821092
"47";2017;"BEL";26;83.6682703069476
