"";"year";"country";"gini";"e0"
"1";1995;"AUT";27;73.2951870731965
"2";1996;"AUT";26;73.6604765772967
"3";1997;"AUT";25;74.0169699697756
"4";1998;"AUT";24;74.4419140740304
"5";1999;"AUT";26;74.7771117660551
"6";2000;"AUT";24;75.0953309719233
"7";2001;"AUT";24;75.5896653549347
"8";2002;"AUT";NA;75.7751179460654
"9";2003;"AUT";27.4;75.9139978780198
"10";2004;"AUT";25.8;76.3906276198236
"11";2005;"AUT";26.3;76.6193295456526
"12";2006;"AUT";25.3;77.0752570540204
"13";2007;"AUT";26.2;77.290482544666
"14";2008;"AUT";27.7;77.5853866559153
"15";2009;"AUT";27.5;77.3977083772823
"16";2010;"AUT";28.3;77.6576622866885
"17";2011;"AUT";27.4;78.0798354967542
"18";2012;"AUT";27.6;78.2609439065802
"19";2013;"AUT";27;78.4589873193501
"20";2014;"AUT";27.6;78.9175650325942
"21";2015;"AUT";27.2;78.6362367944513
"22";2016;"AUT";27.2;79.142136860583
"23";2017;"AUT";27.9;79.2849708454663
"24";2018;"AUT";26.8;NA
"25";1995;"BEL";29;73.4328296473364
"26";1996;"BEL";28;73.8313097942922
"27";1997;"BEL";27;74.1574837170138
"28";1998;"BEL";27;74.2967799700695
"29";1999;"BEL";29;74.3651107526095
"30";2000;"BEL";30;74.5665663815049
"31";2001;"BEL";28;74.9197637588794
"32";2002;"BEL";NA;75.082120636421
"33";2003;"BEL";28.3;75.362065350896
"34";2004;"BEL";26.1;75.9730035109036
"35";2005;"BEL";28;76.1481043367714
"36";2006;"BEL";27.8;76.5240674882838
"37";2007;"BEL";26.3;76.7416414387488
"38";2008;"BEL";27.5;76.7714119348237
"39";2009;"BEL";26.4;77.1625934460907
"40";2010;"BEL";26.6;77.376801130325
"41";2011;"BEL";26.3;77.7677774736504
"42";2012;"BEL";26.5;77.6340493674343
"43";2013;"BEL";25.9;77.9506328675164
"44";2014;"BEL";25.9;78.5771421183168
"45";2015;"BEL";26.2;78.5682806777448
"46";2016;"BEL";26.3;78.7987134776032
"47";2017;"BEL";26;79.0072047539358
"48";2018;"BEL";25.6;79.2108898573773
"49";1995;"BGR";NA;67.3573896416218
"50";1996;"BGR";NA;67.3495693932298
"51";1997;"BGR";NA;66.9636726983873
"52";1998;"BGR";NA;67.3304459188551
"53";1999;"BGR";NA;68.2035915737266
"54";2000;"BGR";25;68.3050638890666
"55";2001;"BGR";26;68.5302378482227
"56";2002;"BGR";26;68.8272670904641
"57";2003;"BGR";NA;68.9390963934477
"58";2004;"BGR";NA;69.0701646330999
"59";2005;"BGR";NA;69.0507486107306
"60";2006;"BGR";31.2;69.248287534146
"61";2007;"BGR";35.3;69.5506580878399
"62";2008;"BGR";35.9;69.8421717420496
"63";2009;"BGR";33.4;70.1682642958057
"64";2010;"BGR";33.2;70.3827551216299
"65";2011;"BGR";35;70.7263601329536
"66";2012;"BGR";33.6;70.911987355534
"67";2013;"BGR";35.4;71.297000689087
"68";2014;"BGR";35.4;71.0781418084555
"69";2015;"BGR";37;71.2283736976539
"70";2016;"BGR";37.7;71.3107133584126
"71";2017;"BGR";40.2;71.3660452036017
"72";2018;"BGR";39.6;NA
"73";1995;"CZE";NA;69.6653507776078
"74";1996;"CZE";NA;70.3061817964736
"75";1997;"CZE";NA;70.4222464384617
"76";1998;"CZE";NA;71.0487755916052
"77";1999;"CZE";NA;71.3331665268442
"78";2000;"CZE";NA;71.5517843693928
"79";2001;"CZE";25;72.0238501855735
"80";2002;"CZE";NA;72.1019655556756
"81";2003;"CZE";NA;72.0838024555232
"82";2004;"CZE";NA;72.6114033370816
"83";2005;"CZE";26;72.9512712862833
"84";2006;"CZE";25.3;73.4764927263505
"85";2007;"CZE";25.3;73.7002834107717
"86";2008;"CZE";24.7;73.9669703818162
"87";2009;"CZE";25.1;74.1591480241329
"88";2010;"CZE";24.9;74.4330554509094
"89";2011;"CZE";25.2;74.7194095128088
"90";2012;"CZE";24.9;74.9651419078249
"91";2013;"CZE";24.6;75.147734910541
"92";2014;"CZE";25.1;75.7170123420349
"93";2015;"CZE";25;75.6312471495953
"94";2016;"CZE";25.1;76.0467980128151
"95";2017;"CZE";24.5;76.007551903504
"96";2018;"CZE";24;NA
"97";1995;"DEU";29;73.1192255235465
"98";1996;"DEU";27;73.4212431122553
"99";1997;"DEU";25;73.8790125703962
"100";1998;"DEU";25;74.3155819242648
"101";1999;"DEU";25;74.5762233715882
"102";2000;"DEU";25;74.8576991870785
"103";2001;"DEU";25;75.2765808133198
"104";2002;"DEU";NA;75.4402952283611
"105";2003;"DEU";NA;75.5153757790712
"106";2004;"DEU";NA;76.1502523731871
"107";2005;"DEU";26.1;76.3566417781837
"108";2006;"DEU";26.8;76.753164155801
"109";2007;"DEU";30.4;76.9131699112971
"110";2008;"DEU";30.2;77.1069071602741
"111";2009;"DEU";29.1;77.2354606481443
"112";2010;"DEU";29.3;77.4350541903135
"113";2011;"DEU";29;77.7731065039113
"114";2012;"DEU";28.3;77.9675847233979
"115";2013;"DEU";29.7;77.9844890530271
"116";2014;"DEU";30.7;78.435340362676
"117";2015;"DEU";30.1;78.131998920681
"118";2016;"DEU";29.5;78.3848060273553
"119";2017;"DEU";29.1;78.5640158636385
"120";2018;"DEU";31.1;NA
"121";1995;"DNK";20;72.7271125167062
"122";1996;"DNK";NA;73.0525119028729
"123";1997;"DNK";20;73.5587691968916
"124";1998;"DNK";NA;73.9414397680171
"125";1999;"DNK";21;74.2011887632971
"126";2000;"DNK";NA;74.4356542134954
"127";2001;"DNK";22;74.669387474129
"128";2002;"DNK";NA;74.8015816573766
"129";2003;"DNK";24.8;75.2817696034109
"130";2004;"DNK";23.9;75.1498977038838
"131";2005;"DNK";23.9;75.9354960251976
"132";2006;"DNK";23.7;75.8942893696106
"133";2007;"DNK";25.2;76.128556487427
"134";2008;"DNK";25.1;76.4833273108983
"135";2009;"DNK";26.9;76.8469214144158
"136";2010;"DNK";26.9;77.1145441841178
"137";2011;"DNK";26.6;77.7094745796688
"138";2012;"DNK";26.5;78.0584407177771
"139";2013;"DNK";26.8;78.26464554263
"140";2014;"DNK";27.7;78.5664674407962
"141";2015;"DNK";27.4;78.7678423387125
"142";2016;"DNK";27.7;78.946557264054
"143";2017;"DNK";27.6;NA
"144";2018;"DNK";27.8;NA
"145";1995;"ESP";34;74.5597126416593
"146";1996;"ESP";34;74.6881408862795
"147";1997;"ESP";35;75.3269871248372
"148";1998;"ESP";34;75.4482955075468
"149";1999;"ESP";33;75.4603040306039
"150";2000;"ESP";32;75.9668657220427
"151";2001;"ESP";33;76.2944716946475
"152";2002;"ESP";31;76.4000888945864
