,gini,year,e0,gini_low,gini_medium,gini_high,year_low,year_medium,year_high,e0_low,e0_medium,e0_high,index,year,country,gini,e0
0,27.0,1995,79.95653144730929,0.9999999999971484,2.1387336163411753e-12,0.0,1.0,0.0,0.0,0.17391142544845195,0.826088574551548,0.0,0,1995,AUT,27.0,79.95653144730929
1,26.0,1996,80.0831412426584,1.0,0.0,0.0,1.0,0.14285714285714288,0.0,0.15280979289026675,0.8471902071097333,0.0,1,1996,AUT,26.0,80.0831412426584
2,25.0,1997,80.53519502506259,1.0,0.0,0.0,1.0,0.28571428571428575,0.0,0.07746749582290136,0.9225325041770986,0.0,2,1997,AUT,25.0,80.53519502506259
3,24.0,1998,80.8144691303452,1.0,0.0,0.0,1.0,0.4285714285714286,0.0,0.030921811609132988,0.969078188390867,0.0,3,1998,AUT,24.0,80.8144691303452
4,26.0,1999,80.8350221478067,1.0,0.0,0.0,1.0,0.5714285714285715,0.0,0.027496308698883826,0.9725036913011161,0.0,4,1999,AUT,26.0,80.8350221478067
5,24.0,2000,81.1012196209085,1.0,0.0,0.0,1.0,0.7142857142857143,0.0,0.0,0.9746950947728763,0.025304905227123697,5,2000,AUT,24.0,81.1012196209085
6,24.0,2001,81.5650877533688,1.0,0.0,0.0,1.0,0.8571428571428572,0.0,0.0,0.8587280616577999,0.1412719383422001,6,2001,AUT,24.0,81.5650877533688
7,27.4,2003,81.54276301073129,0.8666666666666671,0.09999999999999964,0.0,0.8333333333333334,1.0,0.0,0.0,0.864309247317177,0.13569075268282305,8,2003,AUT,27.4,81.54276301073129
8,25.8,2004,82.1045489080737,1.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.7238627729815761,0.2761372270184239,9,2004,AUT,25.8,82.1045489080737
9,26.3,2005,82.2115035333489,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.6971241166627742,0.3028758833372258,10,2005,AUT,26.3,82.2115035333489
10,25.3,2006,82.6418649444511,1.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.5895337638872249,0.4104662361127751,11,2006,AUT,25.3,82.6418649444511
11,26.2,2007,82.8366416029807,1.0,0.0,0.0,0.16666666666666666,1.0,0.0,0.0,0.5408395992548236,0.4591604007451764,12,2007,AUT,26.2,82.8366416029807
12,27.7,2008,82.9559917968607,0.7666666666666669,0.17499999999999982,0.0,5.1234852449804645e-11,1.0,6.148182293976556e-11,0.0,0.5110020507848247,0.48899794921517525,13,2008,AUT,27.7,82.9559917968607
13,27.5,2009,82.8518937644338,0.8333333333333334,0.125,0.0,0.0,1.0,0.19999999999999998,0.0,0.5370265588915508,0.4629734411084492,14,2009,AUT,27.5,82.8518937644338
14,28.3,2010,83.1300107279185,0.5666666666666664,0.3250000000000002,0.0,0.0,1.0,0.4,0.0,0.4674973180203743,0.5325026819796257,15,2010,AUT,28.3,83.1300107279185
15,27.4,2011,83.43427778305251,0.8666666666666671,0.09999999999999964,0.0,0.0,1.0,0.6,0.0,0.391430554236873,0.608569445763127,16,2011,AUT,27.4,83.43427778305251
16,27.6,2012,83.2943932557871,0.7999999999999996,0.15000000000000036,0.0,0.0,1.0,0.8,0.0,0.42640168605322515,0.5735983139467749,17,2012,AUT,27.6,83.2943932557871
17,27.0,2013,83.5664966155985,0.9999999999971484,2.1387336163411753e-12,0.0,0.0,0.9999999999148713,0.9999999999148713,0.0,0.3583758461003761,0.6416241538996239,18,2013,AUT,27.0,83.5664966155985
18,27.6,2014,83.7367387749658,0.7999999999999996,0.15000000000000036,0.0,0.0,0.7999999999999999,1.0,0.0,0.3158153062585498,0.6841846937414502,19,2014,AUT,27.6,83.7367387749658
