,gini,year,e0,gini_low,gini_medium,gini_high,year_low,year_medium,year_high,e0_low,e0_medium,e0_high,index,year,country,gini,e0
0,27.0,1995,73.2951870731965,0.9999999999971484,2.1387336163411753e-12,0.0,1.0,0.0,0.0,0.0,0.9508021544672498,0.5925133623711787,0,1995,AUT,27.0,73.2951870731965
1,26.0,1996,73.6604765772967,1.0,0.0,0.0,1.0,0.14285714285714288,0.0,0.0,0.8899205704505491,0.6186054698069076,1,1996,AUT,26.0,73.6604765772967
2,25.0,1997,74.01696996977559,1.0,0.0,0.0,1.0,0.28571428571428575,0.0,0.0,0.8305050050374021,0.644069283555399,2,1997,AUT,25.0,74.01696996977559
3,24.0,1998,74.44191407403041,1.0,0.0,0.0,1.0,0.4285714285714286,0.0,0.0,0.7596809876615988,0.6744224338593148,3,1998,AUT,24.0,74.44191407403041
4,26.0,1999,74.7771117660551,1.0,0.0,0.0,1.0,0.5714285714285715,0.0,0.0,0.7038147056574834,0.6983651261467928,4,1999,AUT,26.0,74.7771117660551
5,24.0,2000,75.09533097192329,1.0,0.0,0.0,1.0,0.7142857142857143,0.0,0.0,0.6507781713461185,0.7210950694230921,5,2000,AUT,24.0,75.09533097192329
6,24.0,2001,75.5896653549347,1.0,0.0,0.0,1.0,0.8571428571428572,0.0,0.0,0.5683891075108841,0.756404668209621,6,2001,AUT,24.0,75.5896653549347
7,27.4,2003,75.9139978780198,0.8666666666666671,0.09999999999999964,0.0,0.8333333333333334,1.0,0.0,0.0,0.5143336869967001,0.7795712770014142,8,2003,AUT,27.4,75.9139978780198
8,25.8,2004,76.39062761982359,1.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.4348953966960683,0.8136162585588279,9,2004,AUT,25.8,76.39062761982359
9,26.3,2005,76.61932954565259,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.3967784090579016,0.8299521104037565,10,2005,AUT,26.3,76.61932954565259
10,25.3,2006,77.07525705402041,1.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.320790490996598,0.862518361001458,11,2006,AUT,25.3,77.07525705402041
11,26.2,2007,77.290482544666,1.0,0.0,0.0,0.16666666666666666,1.0,0.0,0.0,0.2849195758889991,0.8778916103332861,12,2007,AUT,26.2,77.290482544666
12,27.7,2008,77.5853866559153,0.7666666666666669,0.17499999999999982,0.0,5.1234852449804645e-11,1.0,6.148182293976556e-11,0.0,0.23576889068078327,0.8989561897082358,13,2008,AUT,27.7,77.5853866559153
13,27.5,2009,77.3977083772823,0.8333333333333334,0.125,0.0,0.0,1.0,0.19999999999999998,0.0,0.2670486037862835,0.8855505983773071,14,2009,AUT,27.5,77.3977083772823
14,28.3,2010,77.6576622866885,0.5666666666666664,0.3250000000000002,0.0,0.0,1.0,0.4,0.0,0.22372295221858232,0.9041187347634647,15,2010,AUT,28.3,77.6576622866885
15,27.4,2011,78.07983549675421,0.8666666666666671,0.09999999999999964,0.0,0.0,1.0,0.6,0.0,0.15336075054096437,0.9342739640538724,16,2011,AUT,27.4,78.07983549675421
16,27.6,2012,78.2609439065802,0.7999999999999996,0.15000000000000036,0.0,0.0,1.0,0.8,0.0,0.12317601556996749,0.9472102790414425,17,2012,AUT,27.6,78.2609439065802
17,27.0,2013,78.45898731935009,0.9999999999971484,2.1387336163411753e-12,0.0,0.0,0.9999999999148713,0.9999999999148713,0.0,0.09016878010831893,0.9613562370964347,18,2013,AUT,27.0,78.45898731935009
18,27.6,2014,78.9175650325942,0.7999999999999996,0.15000000000000036,0.0,0.0,0.7999999999999999,1.0,0.0,0.01373916123430045,0.9941117880424426,19,2014,AUT,27.6,78.9175650325942
19,27.2,2015,78.63623679445129,0.9333333333333336,0.04999999999999982,0.0,0.0,0.6,1.0,0.0,0.060627200924784574,0.9740169138893779,20,2015,AUT,27.2,78.63623679445129
20,27.2,2016,79.142136860583,0.9333333333333336,0.04999999999999982,0.0,0.0,0.39999999999999997,1.0,0.0,0.0,1.0,21,2016,AUT,27.2,79.142136860583
21,27.9,2017,79.2849708454663,0.7000000000000005,0.22499999999999964,0.0,0.0,0.2,1.0,0.0,0.0,1.0,22,2017,AUT,27.9,79.2849708454663
22,29.0,1995,73.4328296473364,0.3333333333333333,0.5,0.0,1.0,0.0,0.0,0.0,0.9278617254439325,0.6023449748097431,24,1995,BEL,29.0,73.4328296473364
23,28.0,1996,73.8313097942922,0.6666666666666667,0.25,0.0,1.0,0.14285714285714288,0.0,0.0,0.8614483676179674,0.6308078424494425,25,1996,BEL,28.0,73.8313097942922
24,27.0,1997,74.1574837170138,0.9999999999971484,2.1387336163411753e-12,0.0,1.0,0.28571428571428575,0.0,0.0,0.8070860471643659,0.6541059797867003,26,1997,BEL,27.0,74.1574837170138
25,27.0,1998,74.29677997006951,0.9999999999971484,2.1387336163411753e-12,0.0,1.0,0.4285714285714286,0.0,0.0,0.7838700049884153,0.664055712147822,27,1998,BEL,27.0,74.29677997006951
26,29.0,1999,74.3651107526095,0.3333333333333333,0.5,0.0,1.0,0.5714285714285715,0.0,0.0,0.7724815412317506,0.6689364823292497,28,1999,BEL,29.0,74.3651107526095
27,30.0,2000,74.56656638150491,4.073778315551169e-12,0.75,0.0,1.0,0.7142857142857143,0.0,0.0,0.7389056030825145,0.6833261701074937,29,2000,BEL,30.0,74.56656638150491
28,28.0,2001,74.9197637588794,0.6666666666666667,0.25,0.0,1.0,0.8571428571428572,0.0,0.0,0.6800393735201002,0.7085545542056713,30,2001,BEL,28.0,74.9197637588794
29,28.3,2003,75.36206535089599,0.5666666666666664,0.3250000000000002,0.0,0.8333333333333334,1.0,0.0,0.0,0.6063224415173352,0.7401475250639992,32,2003,BEL,28.3,75.36206535089599
30,26.1,2004,75.9730035109036,1.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.5044994148494008,0.7837859650645426,33,2004,BEL,26.1,75.9730035109036
31,28.0,2005,76.1481043367714,0.6666666666666667,0.25,0.0,0.5,1.0,0.0,0.0,0.4753159438714339,0.7962931669122426,34,2005,BEL,28.0,76.1481043367714
32,27.8,2006,76.52406748828379,0.7333333333333332,0.20000000000000018,0.0,0.3333333333333333,1.0,0.0,0.0,0.4126554186193682,0.8231476777345564,35,2006,BEL,27.8,76.52406748828379
33,26.3,2007,76.7416414387488,1.0,0.0,0.0,0.16666666666666666,1.0,0.0,0.0,0.3763930935418666,0.838688674196343,36,2007,BEL,26.3,76.7416414387488
34,27.5,2008,76.7714119348237,0.8333333333333334,0.125,0.0,5.1234852449804645e-11,1.0,6.148182293976556e-11,0.0,0.37143134419604945,0.8408151382016931,37,2008,BEL,27.5,76.7714119348237
35,26.4,2009,77.16259344609071,1.0,0.0,0.0,0.0,1.0,0.19999999999999998,0.0,0.3062344256515483,0.868756674720765,38,2009,BEL,26.4,77.16259344609071
36,26.6,2010,77.376801130325,1.0,0.0,0.0,0.0,1.0,0.4,0.0,0.2705331449458323,0.8840572235946432,39,2010,BEL,26.6,77.376801130325
37,26.3,2011,77.76777747365041,1.0,0.0,0.0,0.0,1.0,0.6,0.0,0.20537042105826467,0.9119841052607437,40,2011,BEL,26.3,77.76777747365041
38,26.5,2012,77.6340493674343,1.0,0.0,0.0,0.0,1.0,0.8,0.0,0.22765843876094985,0.9024320976738787,41,2012,BEL,26.5,77.6340493674343
39,25.9,2013,77.9506328675164,1.0,0.0,0.0,0.0,0.9999999999148713,0.9999999999148713,0.0,0.1748945220805993,0.9250452048226002,42,2013,BEL,25.9,77.9506328675164
40,25.9,2014,78.5771421183168,1.0,0.0,0.0,0.0,0.7999999999999999,1.0,0.0,0.07047631361386664,0.9697958655940572,43,2014,BEL,25.9,78.5771421183168
41,26.2,2015,78.5682806777448,1.0,0.0,0.0,0.0,0.6,1.0,0.0,0.07195322037586749,0.9691629055531996,44,2015,BEL,26.2,78.5682806777448
42,26.3,2016,78.7987134776032,1.0,0.0,0.0,0.0,0.39999999999999997,1.0,0.0,0.03354775373279987,0.9856223912573715,45,2016,BEL,26.3,78.7987134776032
43,26.0,2017,79.0072047539358,1.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,1.0,46,2017,BEL,26.0,79.0072047539358
44,25.6,2018,79.2108898573773,1.0,0.0,0.0,0.0,1.0877550717142306e-10,0.9999994561221683,0.0,0.0,1.0,47,2018,BEL,25.6,79.2108898573773
45,25.0,2000,68.3050638890666,1.0,0.0,0.0,1.0,0.7142857142857143,0.0,0.5278480158476283,0.4131329861333253,0.23607599207618588,53,2000,BGR,25.0,68.3050638890666
46,26.0,2001,68.5302378482227,1.0,0.0,0.0,1.0,0.8571428571428572,0.0,0.4956803073967576,0.44127973102783713,0.25215984630162125,54,2001,BGR,26.0,68.5302378482227
47,26.0,2002,68.8272670904641,1.0,0.0,0.0,0.999999999972412,0.9999999999763531,0.0,0.45324755850512793,0.4784083863080131,0.27337622074743606,55,2002,BGR,26.0,68.8272670904641
48,31.2,2006,69.248287534146,0.0,0.9500000000000002,0.0,0.3333333333333333,1.0,0.0,0.3931017808362855,0.5310359417682502,0.3034491095818572,59,2006,BGR,31.2,69.248287534146
49,35.3,2007,69.55065808783989,0.0,0.0,1.0,0.16666666666666666,1.0,0.0,0.34990598745144397,0.5688322609799865,0.325047006274278,60,2007,BGR,35.3,69.55065808783989
50,35.9,2008,69.8421717420496,0.0,0.0,1.0,5.1234852449804645e-11,1.0,6.148182293976556e-11,0.30826117970719985,0.6052714677562001,0.34586941014640005,61,2008,BGR,35.9,69.8421717420496
51,33.4,2009,70.1682642958057,0.0,0.40000000000000036,0.4666666666666662,0.0,1.0,0.19999999999999998,0.26167652917061446,0.6460330369757123,0.36916173541469277,62,2009,BGR,33.4,70.1682642958057
52,33.2,2010,70.38275512162991,0.0,0.4499999999999993,0.40000000000000097,0.0,1.0,0.4,0.23103498262429817,0.6728443902037391,0.3844825086878509,63,2010,BGR,33.2,70.38275512162991
53,35.0,2011,70.7263601329536,0.0,4.583000537232429e-12,0.9999999999938893,0.0,1.0,0.6,0.18194855243519978,0.7157950166192002,0.4090257237824001,64,2011,BGR,35.0,70.7263601329536
54,33.6,2012,70.911987355534,0.0,0.34999999999999964,0.5333333333333338,0.0,1.0,0.8,0.15543037778085786,0.7389984194417494,0.4222848111095711,65,2012,BGR,33.6,70.911987355534
55,35.4,2013,71.297000689087,0.0,0.0,1.0,0.0,0.9999999999148713,0.9999999999148713,0.10042847298757147,0.787125086135875,0.4497857635062143,66,2013,BGR,35.4,71.297000689087
56,35.4,2014,71.0781418084555,0.0,0.0,1.0,0.0,0.7999999999999999,1.0,0.1316940273635002,0.7597677260569373,0.4341529863182499,67,2014,BGR,35.4,71.0781418084555
57,37.0,2015,71.22837369765391,0.0,0.0,1.0,0.0,0.6,1.0,0.11023232890658465,0.7785467122067384,0.4448838355467077,68,2015,BGR,37.0,71.22837369765391
58,37.7,2016,71.31071335841258,0.0,0.0,1.0,0.0,0.39999999999999997,1.0,0.0984695202267736,0.7888391698015731,0.4507652398866132,69,2016,BGR,37.7,71.31071335841258
