,protoform,DoT,DoS,group
0,"Among all records, minority are e0_low",0.5906230826539407,0.5,e0_f
1,"Among all records, minority are gini_low",0.4871692060950972,0.5,e0_f
2,"Among all records, minority are year_low",0.7713178294468703,0.5162790697674419,e0_f
3,"Among all records, minority are year_low and e0_low",1.0,0.5162790697674419,e0_f
4,"Among all records, minority are gini_low and e0_low",1.0,0.5,e0_f
5,"Among all records, minority are e0_medium",1.0,0.49767441860465117,e0_f
6,"Among all records, minority are gini_medium",1.0,0.5116279069767442,e0_f
7,"Among all records, minority are year_medium",1.0,0.5511627906976744,e0_f
8,"Among all records, minority are year_medium and e0_medium",1.0,0.5511627906976744,e0_f
9,"Among all records, minority are gini_medium and e0_medium",1.0,0.5116279069767442,e0_f
10,"Among all records, minority are e0_high",0.5684855929744703,0.5,e0_f
11,"Among all records, minority are gini_high",0.63706835771167,0.5,e0_f
12,"Among all records, minority are year_high",0.6302325771193312,0.5372093023255814,e0_f
13,"Among all records, minority are year_high and e0_high",1.0,0.5372093023255814,e0_f
14,"Among all records, minority are gini_high and e0_high",1.0,0.5,e0_f
15,"Among all gini_low records, minority are e0_low",0.7209949539813184,0.2255813953488372,e0_f
16,"Among all gini_low records, minority are e0_medium",1.0,0.28604651162790695,e0_f
17,"Among all gini_low records, minority are e0_high",0.47152130498112066,0.2744186046511628,e0_f
18,"Among all gini_low records, minority are year_low",0.5323705179161167,0.26976744186046514,e0_f
19,"Among all gini_low records, minority are year_medium",0.9385458167220706,0.2813953488372093,e0_f
20,"Among all gini_low records, minority are year_high",0.7474103899823156,0.2558139534883721,e0_f
21,"Among all gini_medium records, minority are e0_low",0.9389651853004402,0.2069767441860465,e0_f
22,"Among all gini_medium records, minority are e0_medium",0.7699970985925283,0.2813953488372093,e0_f
23,"Among all gini_medium records, minority are e0_high",0.0,0.30465116279069765,e0_f
24,"Among all gini_medium records, minority are year_low",0.5847985147669057,0.26046511627906976,e0_f
25,"Among all gini_medium records, minority are year_medium",0.9347657529264686,0.27209302325581397,e0_f
26,"Among all gini_medium records, minority are year_high",0.11029813254153892,0.27674418604651163,e0_f
27,"Among all gini_high records, minority are e0_low",0.0,0.2744186046511628,e0_f
28,"Among all gini_high records, minority are e0_medium",1.0,0.2116279069767442,e0_f
29,"Among all gini_high records, minority are e0_high",0.845059483933315,0.2255813953488372,e0_f
30,"Among all gini_high records, minority are year_low",0.9102515606586272,0.24651162790697675,e0_f
31,"Among all gini_high records, minority are year_medium",0.8405522983265639,0.26976744186046514,e0_f
32,"Among all gini_high records, minority are year_high",0.5338566289965352,0.2813953488372093,e0_f
33,"Among all e0_low records, minority are gini_low",0.624604887276107,0.2255813953488372,e0_f
34,"Among all e0_low records, minority are gini_medium",1.0,0.2069767441860465,e0_f
35,"Among all e0_low records, minority are gini_high",0.006398490639450971,0.2744186046511628,e0_f
36,"Among all e0_low records, minority are year_low",0.016792460246358998,0.32790697674418606,e0_f
37,"Among all e0_low records, minority are year_medium",1.0,0.2441860465116279,e0_f
