,protoform,DoT,DoS,group
0,"Among all records, most are e0_low",0.212502556,0.5,e0_f
1,"Among all records, most are gini_low",0.350441059,0.5,e0_f
2,"Among all records, most are year_low",2.12E-16,0.51627907,e0_f
3,"Among all records, most are year_low and e0_low",0,0.51627907,e0_f
4,"Among all records, most are gini_low and e0_low",0,0.5,e0_f
5,"Among all records, most are e0_medium",1,0.997674419,e0_f
6,"Among all records, most are gini_medium",1,0.995348837,e0_f
7,"Among all records, most are year_medium",1,0.972093023,e0_f
8,"Among all records, most are year_medium and e0_medium",1,0.972093023,e0_f
9,"Among all records, most are gini_medium and e0_medium",1,0.995348837,e0_f
10,"Among all records, most are e0_high",0.242019209,0.5,e0_f
11,"Among all records, most are gini_high",0.150575523,0.5,e0_f
12,"Among all records, most are year_high",0.159689897,0.537209302,e0_f
13,"Among all records, most are year_high and e0_high",0,0.537209302,e0_f
14,"Among all records, most are gini_high and e0_high",0,0.5,e0_f
15,"Among all gini_low records, most are e0_low",0.038673395,0.225581395,e0_f
16,"Among all gini_low records, most are e0_medium",1,0.497674419,e0_f
17,"Among all gini_low records, most are e0_high",0.371304927,0.274418605,e0_f
18,"Among all gini_low records, most are year_low",0.290172643,0.269767442,e0_f
19,"Among all gini_low records, most are year_medium",1,0.495348837,e0_f
20,"Among all gini_low records, most are year_high",0.003452813,0.255813953,e0_f
21,"Among all gini_medium records, most are e0_low",0.065959758,0.495348837,e0_f
22,"Among all gini_medium records, most are e0_medium",1,0.993023256,e0_f
23,"Among all gini_medium records, most are e0_high",0.525405499,0.5,e0_f
24,"Among all gini_medium records, most are year_low",1.21E-16,0.511627907,e0_f
25,"Among all gini_medium records, most are year_medium",1,0.969767442,e0_f
26,"Among all gini_medium records, most are year_high",0.306834037,0.537209302,e0_f
27,"Among all gini_high records, most are e0_low",1,0.274418605,e0_f
28,"Among all gini_high records, most are e0_medium",1,0.5,e0_f
29,"Among all gini_high records, most are e0_high",0,0.225581395,e0_f
30,"Among all gini_high records, most are year_low",0,0.246511628,e0_f
31,"Among all gini_high records, most are year_medium",1,0.476744186,e0_f
32,"Among all gini_high records, most are year_high",0.288191161,0.281395349,e0_f
33,"Among all e0_low records, most are gini_low",0.167193484,0.225581395,e0_f
34,"Among all e0_low records, most are gini_medium",1,0.495348837,e0_f
35,"Among all e0_low records, most are gini_high",0.991468679,0.274418605,e0_f
36,"Among all e0_low records, most are year_low",0.977610053,0.225581395,e0_f
37,"Among all e0_low records, most are year_medium",1,0.495348837,e0_f
38,"Among all e0_low records, most are year_high",0,0.274418605,e0_f
39,"Among all e0_medium records, most are gini_low",0.586401962,0.497674419,e0_f
40,"Among all e0_medium records, most are gini_medium",1,0.993023256,e0_f
41,"Among all e0_medium records, most are gini_high",0.006114544,0.5,e0_f
42,"Among all e0_medium records, most are year_low",0.166766075,0.497674419,e0_f
43,"Among all e0_medium records, most are year_medium",1,0.993023256,e0_f
44,"Among all e0_medium records, most are year_high",0.140129863,0.5,e0_f
45,"Among all e0_high records, most are gini_low",0.48516968,0.274418605,e0_f
46,"Among all e0_high records, most are gini_medium",1,0.5,e0_f
47,"Among all e0_high records, most are gini_high",0,0.225581395,e0_f
48,"Among all e0_high records, most are year_low",0,0.274418605,e0_f
49,"Among all e0_high records, most are year_medium",1,0.5,e0_f
50,"Among all e0_high records, most are year_high",1,0.225581395,e0_f
51,"Among all year_low records, most are gini_low",0.721406113,0.269767442,e0_f
52,"Among all year_low records, most are gini_medium",1,0.511627907,e0_f
53,"Among all year_low records, most are gini_high",9.78E-17,0.246511628,e0_f
54,"Among all year_low records, most are e0_low",1,0.327906977,e0_f
55,"Among all year_low records, most are e0_medium",1,0.513953488,e0_f
56,"Among all year_low records, most are e0_high",0,0.188372093,e0_f
57,"Among all year_medium records, most are gini_low",0.490035089,0.495348837,e0_f
58,"Among all year_medium records, most are gini_medium",1,0.969767442,e0_f
59,"Among all year_medium records, most are gini_high",0.304763839,0.476744186,e0_f
60,"Among all year_medium records, most are e0_low",0.200374025,0.476744186,e0_f
61,"Among all year_medium records, most are e0_medium",1,0.969767442,e0_f
62,"Among all year_medium records, most are e0_high",0.445391449,0.495348837,e0_f
63,"Among all year_high records, most are gini_low",0.182249652,0.255813953,e0_f
64,"Among all year_high records, most are gini_medium",1,0.537209302,e0_f
65,"Among all year_high records, most are gini_high",0.278606993,0.281395349,e0_f
66,"Among all year_high records, most are e0_low",0,0.195348837,e0_f
67,"Among all year_high records, most are e0_medium",1,0.537209302,e0_f
68,"Among all year_high records, most are e0_high",1,0.341860465,e0_f
69,,0,0,e0_f
70,,0,0,e0_f
71,,0,0,e0_f
72,,0,0,e0_f
73,,0,0,e0_f
74,,0,0,e0_f
75,,0,0,e0_f
76,,0,0,e0_f
77,,0,0,e0_f
78,,0,0,e0_f
79,,0,0,e0_f
80,,0,0,e0_f
81,,0,0,e0_f
82,,0,0,e0_f
83,,0,0,e0_f
84,,0,0,e0_f
85,,0,0,e0_f
86,,0,0,e0_f
87,,0,0,e0_f
88,,0,0,e0_f
89,,0,0,e0_f
