,protoform,DoT,DoS,group
0,"Among all records, most are e0_low",0.13950432175198496,0.5011655011655012,e0_m
1,"Among all records, most are gini_low",0.3711473711476187,0.5337995337995338,e0_m
2,"Among all records, most are year_low",1.7022844622602616e-16,0.5151515151515151,e0_m
3,"Among all records, most are year_low and e0_low",0.0,0.5151515151515151,e0_m
4,"Among all records, most are gini_low and e0_low",0.0,0.5337995337995338,e0_m
5,"Among all records, most are e0_medium",1.0,0.9976689976689976,e0_m
6,"Among all records, most are gini_medium",1.0,0.9953379953379954,e0_m
7,"Among all records, most are year_medium",1.0,0.972027972027972,e0_m
8,"Among all records, most are year_medium and e0_medium",1.0,0.972027972027972,e0_m
9,"Among all records, most are gini_medium and e0_medium",1.0,0.9953379953379954,e0_m
10,"Among all records, most are e0_high",0.2008587454439018,0.5011655011655012,e0_m
11,"Among all records, most are gini_high",0.13024475562900575,0.5011655011655012,e0_m
12,"Among all records, most are year_high",0.16550114013578124,0.5384615384615384,e0_m
13,"Among all records, most are year_high and e0_high",0.0,0.5384615384615384,e0_m
14,"Among all records, most are gini_high and e0_high",0.0,0.5011655011655012,e0_m
15,"Among all gini_low records, most are e0_low",0.0,0.24242424242424243,e0_m
16,"Among all gini_low records, most are e0_medium",1.0,0.5337995337995338,e0_m
17,"Among all gini_low records, most are e0_high",0.40810640332203785,0.2937062937062937,e0_m
18,"Among all gini_low records, most are year_low",0.2740854242655125,0.3006993006993007,e0_m
19,"Among all gini_low records, most are year_medium",1.0,0.5174825174825175,e0_m
20,"Among all gini_low records, most are year_high",0.01615267492767784,0.25874125874125875,e0_m
21,"Among all gini_medium records, most are e0_low",1.6405859448525702e-16,0.4965034965034965,e0_m
22,"Among all gini_medium records, most are e0_medium",1.0,0.993006993006993,e0_m
23,"Among all gini_medium records, most are e0_high",0.49157089808010135,0.5011655011655012,e0_m
24,"Among all gini_medium records, most are year_low",7.100501074315583e-17,0.5104895104895105,e0_m
25,"Among all gini_medium records, most are year_medium",1.0,0.9696969696969697,e0_m
26,"Among all gini_medium records, most are year_high",0.314045720389419,0.5384615384615384,e0_m
27,"Among all gini_high records, most are e0_low",1.0,0.2867132867132867,e0_m
28,"Among all gini_high records, most are e0_medium",1.0,0.4988344988344988,e0_m
29,"Among all gini_high records, most are e0_high",0.0,0.21678321678321677,e0_m
30,"Among all gini_high records, most are year_low",0.0,0.24708624708624707,e0_m
31,"Among all gini_high records, most are year_medium",1.0,0.47785547785547783,e0_m
32,"Among all gini_high records, most are year_high",0.2831329265838822,0.28205128205128205,e0_m
33,"Among all e0_low records, most are gini_low",0.0,0.24242424242424243,e0_m
34,"Among all e0_low records, most are gini_medium",1.0,0.4965034965034965,e0_m
35,"Among all e0_low records, most are gini_high",1.0,0.2867132867132867,e0_m
36,"Among all e0_low records, most are year_low",0.5835648183999138,0.24242424242424243,e0_m
37,"Among all e0_low records, most are year_medium",1.0,0.4965034965034965,e0_m
38,"Among all e0_low records, most are year_high",0.0,0.2867132867132867,e0_m
39,"Among all e0_medium records, most are gini_low",0.6336250253875518,0.5337995337995338,e0_m
40,"Among all e0_medium records, most are gini_medium",1.0,0.993006993006993,e0_m
41,"Among all e0_medium records, most are gini_high",2.7373998270772374e-17,0.4988344988344988,e0_m
42,"Among all e0_medium records, most are year_low",0.2537401241869404,0.5337995337995338,e0_m
43,"Among all e0_medium records, most are year_medium",1.0,0.993006993006993,e0_m
44,"Among all e0_medium records, most are year_high",0.041782046145408064,0.4988344988344988,e0_m
45,"Among all e0_high records, most are gini_low",0.5923213289048904,0.2937062937062937,e0_m
46,"Among all e0_high records, most are gini_medium",1.0,0.5011655011655012,e0_m
47,"Among all e0_high records, most are gini_high",0.0,0.21678321678321677,e0_m
48,"Among all e0_high records, most are year_low",0.0,0.2937062937062937,e0_m
49,"Among all e0_high records, most are year_medium",1.0,0.5011655011655012,e0_m
50,"Among all e0_high records, most are year_high",1.0,0.21678321678321677,e0_m
51,"Among all year_low records, most are gini_low",0.7361894024821583,0.3006993006993007,e0_m
52,"Among all year_low records, most are gini_medium",1.0,0.5104895104895105,e0_m
53,"Among all year_low records, most are gini_high",7.092743937971232e-18,0.24708624708624707,e0_m
54,"Among all year_low records, most are e0_low",0.8064020867391511,0.32634032634032634,e0_m
55,"Among all year_low records, most are e0_medium",1.0,0.5128205128205128,e0_m
56,"Among all year_low records, most are e0_high",0.0,0.19114219114219114,e0_m
57,"Among all year_medium records, most are gini_low",0.5117888630519184,0.5174825174825175,e0_m
58,"Among all year_medium records, most are gini_medium",1.0,0.9696969696969697,e0_m
59,"Among all year_medium records, most are gini_high",0.2847347869786391,0.47785547785547783,e0_m
60,"Among all year_medium records, most are e0_low",0.12486605808736356,0.4731934731934732,e0_m
61,"Among all year_medium records, most are e0_medium",1.0,0.9696969696969697,e0_m
62,"Among all year_medium records, most are e0_high",0.4146042486292289,0.5011655011655012,e0_m
63,"Among all year_high records, most are gini_low",0.2095079961959778,0.25874125874125875,e0_m
64,"Among all year_high records, most are gini_medium",1.0,0.5384615384615384,e0_m
65,"Among all year_high records, most are gini_high",0.24621685971828453,0.28205128205128205,e0_m
66,"Among all year_high records, most are e0_low",0.0,0.1958041958041958,e0_m
67,"Among all year_high records, most are e0_medium",1.0,0.5384615384615384,e0_m
68,"Among all year_high records, most are e0_high",1.0,0.34265734265734266,e0_m
69,,0.0,0.0,e0_m
70,,0.0,0.0,e0_m
71,,0.0,0.0,e0_m
72,,0.0,0.0,e0_m
73,,0.0,0.0,e0_m
74,,0.0,0.0,e0_m
75,,0.0,0.0,e0_m
76,,0.0,0.0,e0_m
77,,0.0,0.0,e0_m
78,,0.0,0.0,e0_m
79,,0.0,0.0,e0_m
80,,0.0,0.0,e0_m
81,,0.0,0.0,e0_m
82,,0.0,0.0,e0_m
83,,0.0,0.0,e0_m
84,,0.0,0.0,e0_m
85,,0.0,0.0,e0_m
86,,0.0,0.0,e0_m
87,,0.0,0.0,e0_m
88,,0.0,0.0,e0_m
89,,0.0,0.0,e0_m
